産業,出勤日数／計(日),出勤日数／男(日),出勤日数／女(日),総実労働時間／計(時間),総実労働時間／男(時間),総実労働時間／女(時間),所定内労働時間／計(時間),所定内労働時間／男(時間),所定内労働時間／女(時間),所定外労働時間／計(時間),所定外労働時間／男(時間),所定外労働時間／女(時間)
TL 調査産業計,18.4,19.4,17,139.4,154.8,119.4,132.7,145.9,115.6,6.7,8.9,3.8
D 鉱業,-,-,-,-,-,-,-,-,-,-,-,-
E 建設業,20.9,21.4,18.8,171.1,177.8,144.7,160,164.8,140.9,11.1,13,3.8
F 製造業,19.8,20.2,19,156.4,165.4,135.4,147.7,154.5,131.9,8.7,10.9,3.5
G 電気・ガス・熱供給・水道業,16.8,16.7,17.2,140.9,141.6,137.9,129.9,130.8,126,11,10.8,11.9
H 情報通信業,19.6,20,18.7,157.7,161.6,147.9,144.4,147.4,136.9,13.3,14.2,11
I 運輸業,19.9,20.2,18.9,167.6,174.5,137.5,149,153.3,130.4,18.6,21.2,7.1
J 卸売・小売業,18.1,19.1,16.9,136.1,149.7,119,131.1,143.9,115,5,5.8,4
K 金融・保険業,19.6,20.4,18.9,154.5,167.5,142.3,143.1,152.6,134.2,11.4,14.9,8.1
L 不動産業,21.1,21.5,20.1,165.4,170.1,153.8,158.7,162.7,148.7,6.7,7.4,5.1
"M 飲食店,宿泊業",15.3,16.7,14,105.1,125,88.2,101.9,119.7,86.8,3.2,5.3,1.4
"N 医療,福祉",16.7,17.7,16.5,113.5,131.5,108.3,110.4,127.6,105.5,3.1,3.9,2.8
"O 教育,学習支援業",16.3,15.6,16.8,119.7,113,124.3,117.3,111.1,121.5,2.4,1.9,2.8
P 複合サービス事業,19.9,20,19.7,164.3,168.9,159.9,154.1,158.9,149.6,10.2,10,10.3
Q サービス業（他に分類されないもの）,19.5,20.2,18.6,150.4,162.5,132.9,143.4,153.4,129,7,9.1,3.9
,,,,,,,,,,,,
東京都の賃金、労働時間及び雇用の動き（毎月勤労統計調査）平成１９年１０月分,,,,,,,,,,,,
第９－１表　産業、性別常用労働者の一人平均月間出勤日数及び実労働時間　（事業所規模５人～２９人）,,,,,,,,,,,,
