産業,現金給与総額／計(円),現金給与総額／男(円),現金給与総額／女(円),きまって支給する給与／計(円),きまって支給する給与／男(円),きまって支給する給与／女(円),所定内給与(円),所定外給与(円),特別に支払われた給与／計(円),特別に支払われた給与／男(円),特別に支払われた給与／女(円)
TL 調査産業計,274063,338418,184459,267594,329245,181754,256402,11192,6469,9173,2705
D 鉱業,-,-,-,-,-,-,-,-,-,-,-
E 建設業,382952,411516,260571,370130,397072,254699,349528,20602,12822,14444,5872
F 製造業,306588,356096,196507,303705,352194,195888,289561,14144,2883,3902,619
G 電気・ガス・熱供給・水道業,378819,419701,181827,378382,419173,181827,364941,13441,437,528,0
H 情報通信業,343665,397079,249710,330742,380652,242950,317595,13147,12923,16427,6760
I 運輸業,359298,382257,181429,355405,377911,181044,306993,48412,3883,4346,385
J 卸売・小売業,263997,329348,170208,251518,312203,164425,244135,7383,12479,17145,5783
K 金融・保険業,337338,472979,220384,330984,463523,216705,308289,22695,6354,9456,3679
L 不動産業,389182,436410,259817,382343,427219,259421,371600,10743,6839,9191,396
"M 飲食店,宿泊業",133252,178784,93651,133144,178628,93584,128024,5120,108,156,67
"N 医療,福祉",236524,376412,196985,235903,375065,196569,230970,4933,621,1347,416
"O 教育,学習支援業",268766,304397,243421,265971,301543,240669,264847,1124,2795,2854,2752
P 複合サービス事業,357922,458777,255605,346897,443335,249061,336200,10697,11025,15442,6544
Q サービス業（他に分類されないもの）,294017,333099,225079,291009,329063,223874,277958,13051,3008,4030,1205
,,,,,,,,,,,
東京都の賃金、労働時間及び雇用の動き（毎月勤労統計調査）平成１９年２月分,,,,,,,,,,,
第８－１表　産業、性別常用労働者の一人平均月間現金給与額　（事業所規模５人～２９人）,,,,,,,,,,,
