産業,現金給与総額／計(円),現金給与総額／男(円),現金給与総額／女(円),きまって支給する給与／計(円),きまって支給する給与／男(円),きまって支給する給与／女(円),所定内給与(円),所定外給与(円),特別に支払われた給与／計(円),特別に支払われた給与／男(円),特別に支払われた給与／女(円)
TL 調査産業計,349542,414207,237696,340350,403836,230544,320905,19445,9192,10371,7152
D 鉱業,Ｘ,Ｘ,Ｘ,Ｘ,Ｘ,Ｘ,Ｘ,Ｘ,Ｘ,Ｘ,Ｘ
E 建設業,394657,418044,244035,384175,407121,236399,353807,30368,10482,10923,7636
F 製造業,386342,446876,231796,384843,445030,231184,367397,17446,1499,1846,612
G 電気・ガス・熱供給・水道業,521931,539003,407007,455357,470292,354818,403476,51881,66574,68711,52189
H 情報通信業,345906,364209,253120,330366,348656,237648,314567,15799,15540,15553,15472
I 運輸業,332043,355030,187053,328585,351023,187053,276554,52031,3458,4007,0
J 卸売・小売業,325156,415027,191889,324367,413931,191556,310260,14107,789,1096,333
K 金融・保険業,463309,578709,323770,450791,564864,312858,425129,25662,12518,13845,10912
L 不動産業,387487,438733,252455,381736,431794,249832,367927,13809,5751,6939,2623
"M 飲食店,宿泊業",163325,217629,109960,163281,217585,109917,151032,12249,44,44,43
"N 医療,福祉",314148,479772,277846,300602,450296,267792,293588,7014,13546,29476,10054
"O 教育,学習支援業",447128,517907,362304,404500,464855,332169,390186,14314,42628,53052,30135
P 複合サービス事業,-,-,-,-,-,-,-,-,-,-,-
Q サービス業（他に分類されないもの）,354270,407250,241735,345315,397195,235118,321229,24086,8955,10055,6617
,,,,,,,,,,,
東京都の賃金、労働時間及び雇用の動き（毎月勤労統計調査）平成１９年１０月分,,,,,,,,,,,
第８－２表　産業、性別常用労働者の一人平均月間現金給与額　（事業所規模３０人～９９人）,,,,,,,,,,,
