産業,現金給与総額／計(円),現金給与総額／男(円),現金給与総額／女(円),きまって支給する給与／計(円),きまって支給する給与／男(円),きまって支給する給与／女(円),所定内給与(円),所定外給与(円),特別に支払われた給与／計(円),特別に支払われた給与／男(円),特別に支払われた給与／女(円)
TL 調査産業計,397115,461773,269305,381210,441309,262410,349330,31880,15905,20464,6895
D 鉱業,456216,502198,297570,428749,475337,268012,400228,28521,27467,26861,29558
E 建設業,416098,437485,255808,415891,437291,255502,382467,33424,207,194,306
F 製造業,391626,443401,239316,384090,435290,233473,355197,28893,7536,8111,5843
G 電気・ガス・熱供給・水道業,528188,561841,331348,521312,554064,329741,464602,56710,6876,7777,1607
H 情報通信業,407842,441774,304418,397548,429542,300030,354926,42622,10294,12232,4388
I 運輸業,398577,416772,231985,361859,377078,222518,303956,57903,36718,39694,9467
J 卸売・小売業,365927,463004,219964,353063,444989,214844,330862,22201,12864,18015,5120
K 金融・保険業,468793,604732,300171,460204,595734,292089,433374,26830,8589,8998,8082
L 不動産業,423915,487340,269960,375560,426892,250960,343950,31610,48355,60448,19000
"M 飲食店,宿泊業",429456,506578,262369,428482,505295,262062,406057,22425,974,1283,307
"N 医療,福祉",346586,450217,309996,344250,447183,307907,319853,24397,2336,3034,2089
"O 教育,学習支援業",499755,577605,381476,465784,537873,356258,444101,21683,33971,39732,25218
P 複合サービス事業,353069,405570,158093,321796,368191,149499,297104,24692,31273,37379,8594
Q サービス業（他に分類されないもの）,381603,455209,267230,359875,424945,258766,329663,30212,21728,30264,8464
,,,,,,,,,,,
東京都の賃金、労働時間及び雇用の動き（毎月勤労統計調査）平成１９年４月分,,,,,,,,,,,
第８－３表　産業、性別常用労働者の一人平均月間現金給与額　（事業所規模１００～４９９人）,,,,,,,,,,,
