産業,現金給与総額／計(円),現金給与総額／男(円),現金給与総額／女(円),きまって支給する給与／計(円),きまって支給する給与／男(円),きまって支給する給与／女(円),所定内給与(円),所定外給与(円),特別に支払われた給与／計(円),特別に支払われた給与／男(円),特別に支払われた給与／女(円)
TL 調査産業計,273891,340931,182867,265267,330143,177180,254447,10820,8624,10788,5687
D 鉱業,-,-,-,-,-,-,-,-,-,-,-
E 建設業,365976,393629,252229,365025,392467,252142,345621,19404,951,1162,87
F 製造業,306394,355338,195289,304266,353150,193297,291053,13213,2128,2188,1992
G 電気・ガス・熱供給・水道業,419295,459464,218104,384063,422569,191203,368180,15883,35232,36895,26901
H 情報通信業,350067,403688,250098,325391,373397,235892,313377,12014,24676,30291,14206
I 運輸業,348769,371965,180955,341142,365874,162209,293846,47296,7627,6091,18746
J 卸売・小売業,257443,322410,165066,251082,313626,162149,244321,6761,6361,8784,2917
K 金融・保険業,352036,488809,234086,340263,470101,228293,316562,23701,11773,18708,5793
L 不動産業,479077,547943,292665,386745,434376,257814,374901,11844,92332,113567,34851
"M 飲食店,宿泊業",135104,182822,94484,135037,182692,94470,129134,5903,67,130,14
"N 医療,福祉",233505,379693,190894,230670,376093,188282,225795,4875,2835,3600,2612
"O 教育,学習支援業",260031,293865,235475,259148,292598,234872,257934,1214,883,1267,603
P 複合サービス事業,341130,458198,240160,335453,451367,235478,322909,12544,5677,6831,4682
Q サービス業（他に分類されないもの）,297081,344767,224702,283147,333997,205966,271037,12110,13934,10770,18736
,,,,,,,,,,,
東京都の賃金、労働時間及び雇用の動き（毎月勤労統計調査）平成１９年５月分,,,,,,,,,,,
第８－１表　産業、性別常用労働者の一人平均月間現金給与額　（事業所規模５人～２９人）,,,,,,,,,,,
