産業,現金給与総額／計(円),現金給与総額／男(円),現金給与総額／女(円),きまって支給する給与／計(円),きまって支給する給与／男(円),きまって支給する給与／女(円),所定内給与(円),所定外給与(円),特別に支払われた給与／計(円),特別に支払われた給与／男(円),特別に支払われた給与／女(円)
TL 調査産業計,371523,463015,247843,267821,332211,180777,256714,11107,103702,130804,67066
D 鉱業,-,-,-,-,-,-,-,-,-,-,-
E 建設業,435749,467255,307561,370330,399286,252518,351164,19166,65419,67969,55043
F 製造業,351858,410680,218070,308407,355660,200933,294848,13559,43451,55020,17137
G 電気・ガス・熱供給・水道業,393787,432137,197139,393533,431834,197139,375524,18009,254,303,0
H 情報通信業,426650,503984,284885,329736,373744,249063,317824,11912,96914,130240,35822
I 運輸業,534018,583508,173695,344511,369847,160048,295213,49298,189507,213661,13647
J 卸売・小売業,332214,424791,199270,255152,315423,168601,247687,7465,77062,109368,30669
K 金融・保険業,815356,1208989,475486,339473,471075,225845,314199,25274,475883,737914,249641
L 不動産業,587255,657180,388447,386953,430194,264012,376472,10481,200302,226986,124435
"M 飲食店,宿泊業",149870,209473,100602,134999,181104,96888,129415,5584,14871,28369,3714
"N 医療,福祉",416848,740889,323481,231756,382337,188369,226416,5340,185092,358552,135112
"O 教育,学習支援業",492419,549404,451849,264471,302518,237384,263411,1060,227948,246886,214465
P 複合サービス事業,707392,925196,478709,351575,444107,254421,335456,16119,355817,481089,224288
Q サービス業（他に分類されないもの）,383641,454050,277158,285342,335639,209276,273227,12115,98299,118411,67882
,,,,,,,,,,,
東京都の賃金、労働時間及び雇用の動き（毎月勤労統計調査）平成１９年６月分,,,,,,,,,,,
第８－１表　産業、性別常用労働者の一人平均月間現金給与額　（事業所規模５人～２９人）,,,,,,,,,,,
