規模,産業,出勤日数／計(日),出勤日数／男(日),出勤日数／女(日),総実労働時間／計(時間),総実労働時間／男(時間),総実労働時間／女(時間),所定内労働時間／計(時間),所定内労働時間／男(時間),所定内労働時間／女(時間),所定外労働時間／計(時間),所定外労働時間／男(時間),所定外労働時間／女(時間)
30人以上,TL 調査産業計,19.5,20,18.6,157.7,166.7,140.8,143.7,150.4,131,14,16.3,9.8
30人以上,D 鉱業,20.1,20.5,18.4,157.7,161.6,140.2,144.4,146.9,133.1,13.3,14.7,7.1
30人以上,E 建設業,21.4,21.6,19.9,179.7,182.1,163.9,162.7,164.3,152,17,17.8,11.9
30人以上,F 製造業,19.2,19.4,18.5,159.1,163,146.5,145.4,148.3,136,13.7,14.7,10.5
30人以上,G 電気・ガス・熱供給・水道業,20.4,20.6,19.4,169.2,172.6,153.8,154.2,156.6,143.3,15,16,10.5
30人以上,H 情報通信業,19.9,20.1,19,171.4,175,157.7,150.6,153.2,140.6,20.8,21.8,17.1
30人以上,I 運輸業,19.6,19.9,17.8,170.5,175.3,138.9,145.8,149.1,124.2,24.7,26.2,14.7
30人以上,J 卸売・小売業,19.9,20.4,19.1,155.1,165.7,138.3,145.5,154.5,131.2,9.6,11.2,7.1
30人以上,K 金融・保険業,19.8,20.2,19.2,159.8,163.7,154.4,145.1,148.9,139.8,14.7,14.8,14.6
30人以上,L 不動産業,19.9,20.4,18.6,158.3,165.8,140,145.2,151.7,129.4,13.1,14.1,10.6
30人以上,"M 飲食店,宿泊業",17.2,18.4,15.7,128.5,148.2,105,119.1,135.9,99,9.4,12.3,6
30人以上,"N 医療,福祉",18.2,17.7,18.3,135.1,134.8,135.2,128.7,128.9,128.6,6.4,5.9,6.6
30人以上,"O 教育,学習支援業",19.4,20.2,18.4,142.6,149.6,133.9,134.5,140.4,127.1,8.1,9.2,6.8
30人以上,P 複合サービス事業,19,19.1,18.4,154.3,160.5,126.5,137.4,142.8,113.5,16.9,17.7,13
30人以上,Q サービス業（他に分類されないもの）,19.5,20.1,18.6,158.1,167.7,142.6,143,150.1,131.7,15.1,17.6,10.9
30人以上,"F09,10 食料品・たばこ",19.3,19.8,18.6,153.4,165.7,135.8,140.1,149.5,126.5,13.3,16.2,9.3
30人以上,F11 繊維,Ｘ,Ｘ,Ｘ,Ｘ,Ｘ,Ｘ,Ｘ,Ｘ,Ｘ,Ｘ,Ｘ,Ｘ
30人以上,F12 衣服,18.7,18.5,18.8,137.2,144,133.1,130.9,136,127.9,6.3,8,5.2
