産業,現金給与総額／計(円),現金給与総額／男(円),現金給与総額／女(円),きまって支給する給与／計(円),きまって支給する給与／男(円),きまって支給する給与／女(円),所定内給与(円),所定外給与(円),特別に支払われた給与／計(円),特別に支払われた給与／男(円),特別に支払われた給与／女(円)
TL 調査産業計,417497,483532,285732,374974,435712,253780,345053,29921,42523,47820,31952
D 鉱業,507858,559756,325758,473969,525709,292422,452627,21342,33889,34047,33336
E 建設業,420625,444102,238220,413582,436697,233989,383344,30238,7043,7405,4231
F 製造業,388281,439992,237443,381436,433115,230690,351606,29830,6845,6877,6753
G 電気・ガス・熱供給・水道業,518992,550924,332432,518992,550924,332432,458687,60305,0,0,0
H 情報通信業,469530,509150,347657,394450,421908,309989,354416,40034,75080,87242,37668
I 運輸業,366503,381835,221833,346852,361184,211620,293294,53558,19651,20651,10213
J 卸売・小売業,377941,477145,223728,346638,442600,197465,326866,19772,31303,34545,26263
K 金融・保険業,509076,654930,324622,460372,589646,296886,436024,24348,48704,65284,27736
L 不動産業,414693,475422,270566,366242,419714,239337,336219,30023,48451,55708,31229
"M 飲食店,宿泊業",792658,998915,373747,397088,480238,228208,376540,20548,395570,518677,145539
"N 医療,福祉",380678,473173,348180,320364,418196,285991,298784,21580,60314,54977,62189
"O 教育,学習支援業",598329,688280,457171,462762,532585,353190,443545,19217,135567,155695,103981
P 複合サービス事業,308247,353778,141376,308247,353778,141376,282332,25915,0,0,0
Q サービス業（他に分類されないもの）,372098,440910,264321,359126,426081,254258,329936,29190,12972,14829,10063
,,,,,,,,,,,
東京都の賃金、労働時間及び雇用の動き（毎月勤労統計調査）平成１９年３月分,,,,,,,,,,,
第８－３表　産業、性別常用労働者の一人平均月間現金給与額　（事業所規模１００～４９９人）,,,,,,,,,,,
