産業,出勤日数／計(日),出勤日数／男(日),出勤日数／女(日),総実労働時間／計(時間),総実労働時間／男(時間),総実労働時間／女(時間),所定内労働時間／計(時間),所定内労働時間／男(時間),所定内労働時間／女(時間),所定外労働時間／計(時間),所定外労働時間／男(時間),所定外労働時間／女(時間)
TL 調査産業計,20,20.3,19.3,162.4,169.5,148.5,148.3,153.9,137.3,14.1,15.6,11.2
D 鉱業,19.7,19.8,19.1,161.4,163.5,154,146.6,148.1,141.5,14.8,15.4,12.5
E 建設業,21.6,21.7,20.8,179.3,180.6,170.6,163.6,164.2,159.7,15.7,16.4,10.9
F 製造業,20.6,20.8,20.1,167.9,172.5,154,155.7,159.7,143.8,12.2,12.8,10.2
G 電気・ガス・熱供給・水道業,19.8,20,18.8,162.9,166.1,144,147.7,150.2,132.9,15.2,15.9,11.1
H 情報通信業,19.8,20,19.4,172.8,175.8,163.5,149.9,151.9,143.7,22.9,23.9,19.8
I 運輸業,20.4,20.4,20,173.6,175,160.3,152.8,153.5,146.1,20.8,21.5,14.2
J 卸売・小売業,20.1,20.6,19.3,158,168.9,141.9,148.2,157.7,134.1,9.8,11.2,7.8
K 金融・保険業,19.5,19.7,19.2,152,158.9,143.7,136.3,143.9,127.1,15.7,15,16.6
L 不動産業,20.4,20.8,19.5,166.7,172.4,153,151.9,157.3,139.1,14.8,15.1,13.9
"M 飲食店,宿泊業",20,20.5,19,173.2,178.4,161.9,160.9,167.2,147.1,12.3,11.2,14.8
"N 医療,福祉",19.2,19.1,19.2,147.5,146.3,147.9,139.2,138.9,139.2,8.3,7.4,8.7
"O 教育,学習支援業",19.5,20.5,18,139.6,146.6,129.3,134.5,141.2,124.7,5.1,5.4,4.6
P 複合サービス事業,18.8,18.8,18.9,144.7,154.1,108.3,136.1,145.5,99.6,8.6,8.6,8.7
Q サービス業（他に分類されないもの）,19.6,19.9,19.1,160.5,166.6,151.1,146.9,151.7,139.6,13.6,14.9,11.5
,,,,,,,,,,,,
東京都の賃金、労働時間及び雇用の動き（毎月勤労統計調査）平成１９年６月分,,,,,,,,,,,,
第９－３表　産業、性別常用労働者の一人平均月間出勤日数及び実労働時間　（事業所規模１００人～４９９人）,,,,,,,,,,,,
