規模,産業,一般労働者／現金給与総額(円),一般労働者／きまって支給する給与(円),一般労働者／所定内給与(円),一般労働者／所定外給与(円),一般労働者／特別に支払われた給与(円),パートタイム労働者／現金給与総額(円),パートタイム労働者／きまって支給する給与(円),パートタイム労働者／所定内給与(円),パートタイム労働者／所定外給与(円),パートタイム労働者／特別に支払われた給与(円)
30人以上,TL 調査産業計,1086691,420837,388021,32816,665854,135857,117668,111194,6474,18189
30人以上,D 鉱業,1404914,478901,443366,35535,926013,109974,97436,97436,0,12538
30人以上,E 建設業,968325,422747,390551,32196,545578,188340,181015,174998,6017,7325
30人以上,F 製造業,1264459,436141,405105,31036,828318,175292,126710,119913,6797,48582
30人以上,G 電気・ガス・熱供給・水道業,1467225,502898,458330,44568,964327,452064,195193,185331,9862,256871
30人以上,H 情報通信業,1013419,405361,362290,43071,608058,132132,122191,108449,13742,9941
30人以上,I 運輸業,871334,390397,332961,57436,480937,152906,140512,120727,19785,12394
30人以上,J 卸売・小売業,1140751,425601,402937,22664,715150,133387,113483,107703,5780,19904
30人以上,K 金融・保険業,1448539,528036,494562,33474,920503,177588,146599,137600,8999,30989
30人以上,L 不動産業,1123934,407600,382203,25397,716334,101046,91354,89914,1440,9692
30人以上,"M 飲食店,宿泊業",797531,383287,351935,31352,414244,95076,92967,87458,5509,2109
30人以上,"N 医療,福祉",1026929,385366,359648,25718,641563,140633,129833,125783,4050,10800
30人以上,"O 教育,学習支援業",1362459,446431,421492,24939,916028,123962,112383,111506,877,11579
30人以上,P 複合サービス事業,995895,459552,412749,46803,536343,205602,160850,133394,27456,44752
30人以上,Q サービス業（他に分類されないもの）,874949,383659,351359,32300,491290,140319,120236,114995,5241,20083
,,,,,,,,,,,
東京都の賃金、労働時間及び雇用の動き（毎月勤労統計調査）平成１９年１２月分,,,,,,,,,,,
第４－２表　産業、就業形態別労働者の一人平均月間現金給与額　（事業所規模３０人以上）,,,,,,,,,,,
