産業,出勤日数／計(日),出勤日数／男(日),出勤日数／女(日),総実労働時間／計(時間),総実労働時間／男(時間),総実労働時間／女(時間),所定内労働時間／計(時間),所定内労働時間／男(時間),所定内労働時間／女(時間),所定外労働時間／計(時間),所定外労働時間／男(時間),所定外労働時間／女(時間)
TL 調査産業計,18.2,19.4,16.8,138.7,155.1,117.7,132,145.9,114.3,6.7,9.2,3.4
D 鉱業,-,-,-,-,-,-,-,-,-,-,-,-
E 建設業,21.1,21.6,19.5,173.1,179.1,149.8,161.9,166,145.9,11.2,13.1,3.9
F 製造業,20.3,20.7,19.2,160.3,170.3,137.4,151.5,159.2,133.9,8.8,11.1,3.5
G 電気・ガス・熱供給・水道業,20,20.1,19.4,166.9,168.2,161.2,156.4,158.6,146.3,10.5,9.6,14.9
H 情報通信業,19,19.4,18,152.1,156.8,140.6,139.6,143.1,131.1,12.5,13.7,9.5
I 運輸業,20.2,20.2,19.9,169,175.3,141.4,151,154.5,135.8,18,20.8,5.6
J 卸売・小売業,18.4,19.5,17,138.4,154.2,118.8,133,147.3,115.3,5.4,6.9,3.5
K 金融・保険業,18.1,18.8,17.5,143.8,154.2,134.6,133.6,140.7,127.2,10.2,13.5,7.4
L 不動産業,20.2,20.7,19.1,159.1,167,141.2,152.1,158.2,138.3,7,8.8,2.9
"M 飲食店,宿泊業",14.8,16.1,13.7,103.3,121.8,87.1,100.1,116.5,85.8,3.2,5.3,1.3
"N 医療,福祉",16.2,18,15.7,109.2,130.4,103.5,106.5,127.5,100.9,2.7,2.9,2.6
"O 教育,学習支援業",15.9,15.6,16.1,117.6,114,120.1,115.7,112.5,118,1.9,1.5,2.1
P 複合サービス事業,19.3,19.6,19.1,159,162.2,155.9,146.5,150,143.2,12.5,12.2,12.7
Q サービス業（他に分類されないもの）,19.2,19.8,18.2,147.3,159,130.4,140.2,149.7,126.6,7.1,9.3,3.8
,,,,,,,,,,,,
東京都の賃金、労働時間及び雇用の動き（毎月勤労統計調査）平成１９年９月分,,,,,,,,,,,,
第９－１表　産業、性別常用労働者の一人平均月間出勤日数及び実労働時間　（事業所規模５人～２９人）,,,,,,,,,,,,
