産業,出勤日数／計(日),出勤日数／男(日),出勤日数／女(日),総実労働時間／計(時間),総実労働時間／男(時間),総実労働時間／女(時間),所定内労働時間／計(時間),所定内労働時間／男(時間),所定内労働時間／女(時間),所定外労働時間／計(時間),所定外労働時間／男(時間),所定外労働時間／女(時間)
TL 調査産業計,19.1,19.5,18.5,156.9,163.5,144,142.5,147.7,132.3,14.4,15.8,11.7
D 鉱業,19.2,19.3,18.7,161.1,162.1,158.1,142.8,144.1,138.5,18.3,18,19.6
E 建設業,20.3,20.4,19.8,169.2,170,162.6,155.2,155.6,151.7,14,14.4,10.9
F 製造業,18.8,18.8,18.6,153.5,156.5,144.5,141.4,144,133.5,12.1,12.5,11
G 電気・ガス・熱供給・水道業,18.7,18.9,17.5,154.9,158.6,133.8,138.8,141.3,124.3,16.1,17.3,9.5
H 情報通信業,19.6,19.9,18.9,172.1,176.4,159.2,147.9,150.7,139.5,24.2,25.7,19.7
I 運輸業,19.4,19.5,18.5,166.3,168.4,147.1,145.3,146.7,132.7,21,21.7,14.4
J 卸売・小売業,19.3,19.4,19.1,151.9,159.8,139.7,141.7,148.3,131.6,10.2,11.5,8.1
K 金融・保険業,18.8,19.9,17.4,153.6,161.3,144.1,137,146,126,16.6,15.3,18.1
L 不動産業,19.4,19.9,18.4,159.7,165.2,146.9,144.8,150,132.6,14.9,15.2,14.3
"M 飲食店,宿泊業",20.5,21.2,18.9,184,193.7,162.5,171.2,181.6,147.9,12.8,12.1,14.6
"N 医療,福祉",17.8,17.5,17.9,136.4,135.4,136.7,127.9,127.3,128.1,8.5,8.1,8.6
"O 教育,学習支援業",18.6,19.4,17.4,135.7,141.7,126.8,129.7,135.5,121.1,6,6.2,5.7
P 複合サービス事業,18.6,18.7,18.2,141.9,151.7,103.9,133.5,143,96.5,8.4,8.7,7.4
Q サービス業（他に分類されないもの）,19,19.3,18.5,156.2,161.8,147.8,142.5,147.1,135.5,13.7,14.7,12.3
,,,,,,,,,,,,
東京都の賃金、労働時間及び雇用の動き（毎月勤労統計調査）平成１９年５月分,,,,,,,,,,,,
第９－３表　産業、性別常用労働者の一人平均月間出勤日数及び実労働時間　（事業所規模１００人～４９９人）,,,,,,,,,,,,
