産業,現金給与総額／計(円),現金給与総額／男(円),現金給与総額／女(円),きまって支給する給与／計(円),きまって支給する給与／男(円),きまって支給する給与／女(円),所定内給与(円),所定外給与(円),特別に支払われた給与／計(円),特別に支払われた給与／男(円),特別に支払われた給与／女(円)
TL 調査産業計,383209,444971,261255,375070,435079,256579,346146,28924,8139,9892,4676
D 鉱業,516824,571458,326512,490319,546145,295852,473628,16691,26505,25313,30660
E 建設業,392367,412672,237665,392209,412534,237351,361799,30410,158,138,314
F 製造業,390586,441232,240268,383867,434057,234903,356911,26956,6719,7175,5365
G 電気・ガス・熱供給・水道業,541120,572257,358849,512501,545248,320805,454337,58164,28619,27009,38044
H 情報通信業,387927,421447,284209,384471,417374,282661,348004,36467,3456,4073,1548
I 運輸業,358629,375128,215097,351737,367971,210502,300138,51599,6892,7157,4595
J 卸売・小売業,350797,445044,210519,342992,433561,208188,322649,20343,7805,11483,2331
K 金融・保険業,480793,615407,310591,473849,606505,306122,452519,21330,6944,8902,4469
L 不動産業,378996,434509,246292,367055,421071,237928,337971,29084,11941,13438,8364
"M 飲食店,宿泊業",426622,491045,289962,426622,491045,289962,394681,31941,0,0,0
"N 医療,福祉",325358,434270,282390,322640,430749,279988,301995,20645,2718,3521,2402
"O 教育,学習支援業",480822,559161,364860,457664,533389,345572,446870,10794,23158,25772,19288
P 複合サービス事業,402167,448633,199114,359772,400332,182526,318755,41017,42395,48301,16588
Q サービス業（他に分類されないもの）,367313,437385,263586,357258,424251,258087,328806,28452,10055,13134,5499
,,,,,,,,,,,
東京都の賃金、労働時間及び雇用の動き（毎月勤労統計調査）平成１９年１０月分,,,,,,,,,,,
第８－３表　産業、性別常用労働者の一人平均月間現金給与額　（事業所規模１００～４９９人）,,,,,,,,,,,
