規模,産業,一般労働者／出勤日数(日),一般労働者／総実労働時間(時間),一般労働者／所定内労働時間(時間),一般労働者／所定外労働時間(時間),パートタイム労働者／出勤日数(日),パートタイム労働者／総実労働時間(時間),パートタイム労働者／所定内労働時間(時間),パートタイム労働者／所定外労働時間(時間)
30人以上,TL 調査産業計,20.5,171.7,155.6,16.1,15.8,96.3,92.4,3.9
30人以上,D 鉱業,20.7,164.3,148.2,16.1,13.6,65,64.8,0.2
30人以上,E 建設業,21.4,180.8,163.7,17.1,18.2,130.5,126.9,3.6
30人以上,F 製造業,20.8,174.7,159.6,15.1,18.7,124.1,119.7,4.4
30人以上,G 電気・ガス・熱供給・水道業,19.6,163.8,148.4,15.4,16.5,123.8,120,3.8
30人以上,H 情報通信業,19.9,173.4,151.1,22.3,16.8,116.8,109.3,7.5
30人以上,I 運輸業,21,186.3,159.9,26.4,15.7,107.3,96.6,10.7
30人以上,J 卸売・小売業,20.8,171.1,159.7,11.4,17.7,107.2,103.8,3.4
30人以上,K 金融・保険業,19.9,163.1,147.1,16,16.5,112.5,107.6,4.9
30人以上,L 不動産業,21.1,174.7,159.6,15.1,17.3,84.5,83.3,1.2
30人以上,"M 飲食店,宿泊業",21,185.8,170.5,15.3,13.9,82.3,78.8,3.5
30人以上,"N 医療,福祉",19.7,155.4,147.3,8.1,14,72.5,70.7,1.8
30人以上,"O 教育,学習支援業",20.2,152.7,142.5,10.2,8.5,48.7,47.8,0.9
30人以上,P 複合サービス事業,18.9,161.4,145.8,15.6,20,126.5,113.6,12.9
30人以上,Q サービス業（他に分類されないもの）,20.8,174.4,157.1,17.3,16.3,99.1,95,4.1
,,,,,,,,,
東京都の賃金、労働時間及び雇用の動き（毎月勤労統計調査）平成１９年１１月分,,,,,,,,,
第５－２表　産業、就業形態別労働者の一人平均月間出勤日数及び実労働時間　（事業所規模３０人以上）,,,,,,,,,
