産業,現金給与総額／計(円),現金給与総額／男(円),現金給与総額／女(円),きまって支給する給与／計(円),きまって支給する給与／男(円),きまって支給する給与／女(円),所定内給与(円),所定外給与(円),特別に支払われた給与／計(円),特別に支払われた給与／男(円),特別に支払われた給与／女(円)
TL 調査産業計,487324,561082,331040,433028,495931,299743,393085,39943,54296,65151,31297
D 鉱業,-,-,-,-,-,-,-,-,-,-,-
E 建設業,727891,788613,389059,510012,547258,302176,470280,39732,217879,241355,86883
F 製造業,519163,556339,362273,464554,497407,325910,422741,41813,54609,58932,36363
G 電気・ガス・熱供給・水道業,Ｘ,Ｘ,Ｘ,Ｘ,Ｘ,Ｘ,Ｘ,Ｘ,Ｘ,Ｘ,Ｘ
H 情報通信業,520332,544903,406020,463894,487520,353978,391998,71896,56438,57383,52042
I 運輸業,522006,507127,587340,432878,448243,365403,391641,41237,89128,58884,221937
J 卸売・小売業,562511,659719,345566,453565,524505,295244,428502,25063,108946,135214,50322
K 金融・保険業,572956,695663,357284,568241,690756,352906,519949,48292,4715,4907,4378
L 不動産業,393510,480670,221110,388740,474453,219201,362848,25892,4770,6217,1909
"M 飲食店,宿泊業",278580,333000,186179,278580,333000,186179,255780,22800,0,0,0
"N 医療,福祉",424317,519836,386164,382867,469913,348098,347992,34875,41450,49923,38066
"O 教育,学習支援業",410136,455195,339232,389312,438522,311875,361867,27445,20824,16673,27357
P 複合サービス事業,Ｘ,Ｘ,Ｘ,Ｘ,Ｘ,Ｘ,Ｘ,Ｘ,Ｘ,Ｘ,Ｘ
Q サービス業（他に分類されないもの）,354966,436059,246142,336214,409261,238186,303373,32841,18752,26798,7956
,,,,,,,,,,,
東京都の賃金、労働時間及び雇用の動き（毎月勤労統計調査）平成１９年１１月分,,,,,,,,,,,
第８－４表　産業、性別常用労働者の一人平均月間現金給与額　（事業所規模５００人以上）,,,,,,,,,,,
