産業,現金給与総額／計(円),現金給与総額／男(円),現金給与総額／女(円),きまって支給する給与／計(円),きまって支給する給与／男(円),きまって支給する給与／女(円),所定内給与(円),所定外給与(円),特別に支払われた給与／計(円),特別に支払われた給与／男(円),特別に支払われた給与／女(円)
TL 調査産業計,439942,508446,299691,428696,495364,292204,391898,36798,11246,13082,7487
D 鉱業,-,-,-,-,-,-,-,-,-,-,-
E 建設業,523848,560862,317224,517805,554607,312364,472706,45099,6043,6255,4860
F 製造業,467975,501138,327815,463744,497141,322595,424414,39330,4231,3997,5220
G 電気・ガス・熱供給・水道業,Ｘ,Ｘ,Ｘ,Ｘ,Ｘ,Ｘ,Ｘ,Ｘ,Ｘ,Ｘ,Ｘ
H 情報通信業,471050,494169,362621,461894,484761,354648,395559,66335,9156,9408,7973
I 運輸業,414364,439366,326884,411038,435998,323705,371812,39226,3326,3368,3179
J 卸売・小売業,500909,585521,320088,475602,555062,305791,453230,22372,25307,30459,14297
K 金融・保険業,581555,706570,355620,562264,680191,349138,517973,44291,19291,26379,6482
L 不動産業,414573,514796,224720,378147,466687,210425,355020,23127,36426,48109,14295
"M 飲食店,宿泊業",289653,345713,193955,283857,338516,190549,262159,21698,5796,7197,3406
"N 医療,福祉",394905,483927,359077,384741,472631,349369,350713,34028,10164,11296,9708
"O 教育,学習支援業",354334,411300,291034,342212,398406,279771,320547,21665,12122,12894,11263
P 複合サービス事業,534484,565510,386565,523804,553837,380616,500517,23287,10680,11673,5949
Q サービス業（他に分類されないもの）,331125,410414,225991,324516,401705,222168,295967,28549,6609,8709,3823
,,,,,,,,,,,
東京都の賃金、労働時間及び雇用の動き（毎月勤労統計調査）平成１９年１０月分,,,,,,,,,,,
第８－４表　産業、性別常用労働者の一人平均月間現金給与額　（事業所規模５００人以上）,,,,,,,,,,,
