規模,和暦年,西暦年,年平均・月・対前月比・対前年同月比,調査産業計,調査産業計／対前月比（％）,調査産業計／対前年同月比（％）,鉱業,建設業,製造業,電気・ガス・熱供給・水道業,情報通信業,運輸業,卸売・小売業,金融・保険業,不動産業,飲食店，宿泊業,医療，福祉,教育，学習支援業,複合サービス事業,サービス業（他に分類されないもの）
30人以上,平成17,2005,年平均,100,－,－,100,100,100,100,100,100,100,100,100,100,100,100,100,100
30人以上,平成18,2006,年平均,100.6,－,0.6,101.9,97.3,100.9,99.4,99.1,102.8,103.6,100.6,104.7,91.8,100.8,101,100.3,98.5
30人以上,平成18,2006,7月,119.2,-26.1,4.7,115.4,121.3,131.2,73.3,101.3,103.2,168,87.5,131.1,121.1,112.5,92.3,82.9,107.2
30人以上,平成18,2006,8月,79.1,-33.6,0.1,67.3,79.8,79.1,72,77.2,85.6,78.6,77.3,79.7,80,80.3,74.3,77.2,81.1
30人以上,平成18,2006,9月,78.6,-0.6,-1,67.9,80.5,77.1,73,79.2,82.8,78.4,74.4,81.4,82.5,78.2,77.1,81,80.2
30人以上,平成18,2006,10月,79.6,1.3,-0.6,67.7,82.7,78.4,76,77.5,84.5,78.5,73.8,79.6,84.6,81.3,79.9,93.4,82.5
30人以上,平成18,2006,11月,86.1,8.2,-1.9,69.4,86.5,85.2,73.3,83.7,94.5,92.8,79.4,88.4,94.1,83.5,74.8,133.5,83.6
30人以上,平成18,2006,12月,194.4,125.8,2.1,273.8,167.6,204.8,227.9,199.8,176.5,199.2,185.3,213.3,124.9,215.6,227.1,148.4,183.4
30人以上,平成19,2007,1月,79.9,-58.9,-1.2,68.5,80,76.2,74.6,79.3,86.9,79.6,72.9,81.8,84.6,85.9,75.2,77.7,84.4
30人以上,平成19,2007,2月,80.8,1.1,-1.2,67.2,80.7,75.9,72.7,77.3,85.3,80.1,86.4,79.7,86.1,86,77.9,74.6,81.9
30人以上,平成19,2007,3月,86.6,7.2,3.1,70.4,85.3,77,76.3,89.6,88.9,81.9,91.8,86,113.3,93.9,91.7,73.8,87.1
30人以上,平成19,2007,4月,83.8,-3.2,1.3,64.2,84.6,79.7,76.1,83.2,93.9,83.5,78,85.9,84.9,89.2,84.6,78.7,85.2
30人以上,平成19,2007,5月,82.6,-1.4,3.3,68.4,84.6,76.3,71.1,87.2,82.3,80.9,82.9,82.3,88.6,91.7,82.5,71.1,81.8
30人以上,平成19,2007,6月,178.5,116.1,10.7,259.9,151.8,187.9,223.8,171.9,136.3,192,212,162.1,124.8,166.9,195.1,181.8,160.2
30人以上,平成19,2007,7月,106.1,-40.6,-11,66.2,113,105.9,71.9,110.3,117.1,118.2,85.4,117.7,99.9,111.7,87.7,72.5,105.6
30人以上,平成19,2007,7月（対前月比（％））,－,－,－,-74.5,-25.6,-43.6,-67.9,-35.8,-14.1,-38.4,-59.7,-27.4,-20,-33.1,-55,-60.1,-34.1
30人以上,平成19,2007,7月（対前年同月比（％））,－,－,－,-42.6,-6.8,-19.3,-1.9,8.9,13.5,-29.6,-2.4,-10.2,-17.5,-0.7,-5,-12.5,-1.5
,,,,,,,,,,,,,,,,,,,,
東京都の賃金、労働時間及び雇用の動き（毎月勤労統計調査）平成１９年７月分,,,,,,,,,,,,,,,,,,,,
第１１－２表　実質賃金指数（現金給与総額）　（事業所規模３０人以上）,,,,,,,,,,,,,,,,,,,,
（平成１７年平均＝100）,,,,,,,,,,,,,,,,,,,,
実質賃金指数 ＝ 名目賃金指数（現金給与総額）÷ 東京都区部消費者物価指数×１００,,,,,,,,,,,,,,,,,,,,
