産業,出勤日数／計(日),出勤日数／男(日),出勤日数／女(日),総実労働時間／計(時間),総実労働時間／男(時間),総実労働時間／女(時間),所定内労働時間／計(時間),所定内労働時間／男(時間),所定内労働時間／女(時間),所定外労働時間／計(時間),所定外労働時間／男(時間),所定外労働時間／女(時間)
TL 調査産業計,19.8,20.2,19,161.5,168.4,147.7,147.4,152.8,136.7,14.1,15.6,11
D 鉱業,20.2,20.2,20,164.7,166,160.4,150.5,151.2,148.2,14.2,14.8,12.2
E 建設業,21.5,21.5,21.1,177.4,178.4,170.8,163.2,163.5,161.5,14.2,14.9,9.3
F 製造業,19.8,19.9,19.4,161.4,165.4,149.4,149.5,152.9,139.5,11.9,12.5,9.9
G 電気・ガス・熱供給・水道業,19.8,20,18.9,165.7,168.6,148.3,147.6,149.7,135,18.1,18.9,13.3
H 情報通信業,20.1,20.3,19.5,175.8,179.6,164.1,151.9,154.3,144.6,23.9,25.3,19.5
I 運輸業,20.1,20.3,18.5,170.5,172.2,155.8,150,151.1,141,20.5,21.1,14.8
J 卸売・小売業,20.1,20.3,19.8,156.8,165.5,143.2,146.9,154.3,135.4,9.9,11.2,7.8
K 金融・保険業,19.4,20,18.8,152.7,157.3,147.4,139.5,145.3,132.7,13.2,12,14.7
L 不動産業,20.4,20.9,19.1,164.9,172.3,147.7,150.2,156.9,134.5,14.7,15.4,13.2
"M 飲食店,宿泊業",21.1,22,19.2,183.6,193.3,162.3,169.6,179.5,147.9,14,13.8,14.4
"N 医療,福祉",18.5,18.6,18.5,143.5,143.1,143.6,135.5,135.9,135.3,8,7.2,8.3
"O 教育,学習支援業",18,19.3,16,133.5,141.3,121.7,129,136.4,118,4.5,4.9,3.7
P 複合サービス事業,19,19.1,18.8,147.7,157.4,110,135.7,144.9,100.1,12,12.5,9.9
Q サービス業（他に分類されないもの）,19.6,20.1,18.9,160.8,167.5,150,147.1,152.6,138.3,13.7,14.9,11.7
,,,,,,,,,,,,
東京都の賃金、労働時間及び雇用の動き（毎月勤労統計調査）平成１９年７月分,,,,,,,,,,,,
第９－３表　産業、性別常用労働者の一人平均月間出勤日数及び実労働時間　（事業所規模１００人～４９９人）,,,,,,,,,,,,
