規模,産業,一般労働者／出勤日数(日),一般労働者／総実労働時間(時間),一般労働者／所定内労働時間(時間),一般労働者／所定外労働時間(時間),パートタイム労働者／出勤日数(日),パートタイム労働者／総実労働時間(時間),パートタイム労働者／所定内労働時間(時間),パートタイム労働者／所定外労働時間(時間)
30人以上,TL 調査産業計,19.4,161.9,146.2,15.7,15.4,95.9,91.4,4.5
30人以上,D 鉱業,19.2,156.4,139.9,16.5,13.4,61,61,0
30人以上,E 建設業,20,169.4,152,17.4,17,123.3,119.8,3.5
30人以上,F 製造業,19.1,160.5,146.3,14.2,17.5,116.3,111.6,4.7
30人以上,G 電気・ガス・熱供給・水道業,17.8,147.4,134.5,12.9,15.2,114.1,110.5,3.6
30人以上,H 情報通信業,19.5,169.4,147.7,21.7,15.9,110.1,101.1,9
30人以上,I 運輸業,20.2,180.6,154,26.6,15.1,108.2,93.8,14.4
30人以上,J 卸売・小売業,19.7,161.6,150.3,11.3,17.4,108.3,104,4.3
30人以上,K 金融・保険業,18.7,153,137.2,15.8,15.5,106.1,101,5.1
30人以上,L 不動産業,19.7,163,148.7,14.3,16.7,81.8,80.9,0.9
30人以上,"M 飲食店,宿泊業",21.5,186.8,170.8,16,14.1,86.3,82.4,3.9
30人以上,"N 医療,福祉",18.9,149.1,141,8.1,13.4,70.1,68.2,1.9
30人以上,"O 教育,学習支援業",18.1,135.4,126.9,8.5,7.3,44.1,43.3,0.8
30人以上,P 複合サービス事業,19.2,167.5,144.8,22.7,20.2,130.6,111.3,19.3
30人以上,Q サービス業（他に分類されないもの）,19.4,163.3,146.6,16.7,15.7,97.5,93.6,3.9
,,,,,,,,,
東京都の賃金、労働時間及び雇用の動き（毎月勤労統計調査）平成１９年１２月分,,,,,,,,,
第５－２表　産業、就業形態別労働者の一人平均月間出勤日数及び実労働時間　（事業所規模３０人以上）,,,,,,,,,
