産業,現金給与総額／計(円),現金給与総額／男(円),現金給与総額／女(円),きまって支給する給与／計(円),きまって支給する給与／男(円),きまって支給する給与／女(円),所定内給与(円),所定外給与(円),特別に支払われた給与／計(円),特別に支払われた給与／男(円),特別に支払われた給与／女(円)
TL 調査産業計,378802,435380,267017,371738,428537,259516,341500,30238,7064,6843,7501
D 鉱業,498168,551044,316630,493283,545411,314315,464031,29252,4885,5633,2315
E 建設業,400783,421787,243318,400489,421466,243228,370301,30188,294,321,90
F 製造業,386301,437951,234440,375323,425219,228619,347959,27364,10978,12732,5821
G 電気・ガス・熱供給・水道業,504983,537286,316503,504983,537286,316503,458566,46417,0,0,0
H 情報通信業,388077,418782,294830,383162,413904,289802,343970,39192,4915,4878,5028
I 運輸業,341411,354616,222480,337591,350763,218953,286044,51547,3820,3853,3527
J 卸売・小売業,358357,448397,222544,346911,433557,216219,326071,20840,11446,14840,6325
K 金融・保険業,459637,596384,293633,458265,595657,291478,428491,29774,1372,727,2155
L 不動産業,364945,415925,244080,360872,411368,241154,331802,29070,4073,4557,2926
"M 飲食店,宿泊業",420956,485045,277414,420956,485045,277414,397601,23355,0,0,0
"N 医療,福祉",340494,439359,305298,339734,438969,304406,314317,25417,760,390,892
"O 教育,学習支援業",466720,523765,382207,451838,523045,346342,433668,18170,14882,720,35865
P 複合サービス事業,301609,341067,149201,299285,339067,145624,273375,25910,2324,2000,3577
Q サービス業（他に分類されないもの）,364170,427232,267015,355025,419854,255147,325040,29985,9145,7378,11868
,,,,,,,,,,,
東京都の賃金、労働時間及び雇用の動き（毎月勤労統計調査）平成１９年５月分,,,,,,,,,,,
第８－３表　産業、性別常用労働者の一人平均月間現金給与額　（事業所規模１００～４９９人）,,,,,,,,,,,
