産業,出勤日数／計(日),出勤日数／男(日),出勤日数／女(日),総実労働時間／計(時間),総実労働時間／男(時間),総実労働時間／女(時間),所定内労働時間／計(時間),所定内労働時間／男(時間),所定内労働時間／女(時間),所定外労働時間／計(時間),所定外労働時間／男(時間),所定外労働時間／女(時間)
TL 調査産業計,19.5,19.8,18.8,158.2,164.3,145.5,142.4,146.9,133.2,15.8,17.4,12.3
D 鉱業,-,-,-,-,-,-,-,-,-,-,-,-
E 建設業,20.5,20.7,19.7,172.4,173.4,167.4,154.6,155.2,151.5,17.8,18.2,15.9
F 製造業,18.9,19.1,18.2,162.4,165.2,150.8,145.5,147.7,136.3,16.9,17.5,14.5
G 電気・ガス・熱供給・水道業,Ｘ,Ｘ,Ｘ,Ｘ,Ｘ,Ｘ,Ｘ,Ｘ,Ｘ,Ｘ,Ｘ,Ｘ
H 情報通信業,19.9,20,19.5,174.8,175.5,171.2,149.1,149.9,145.4,25.7,25.6,25.8
I 運輸業,19.4,19.9,17.5,156.3,164.3,128.3,141.9,148.3,119.4,14.4,16,8.9
J 卸売・小売業,20.1,20.4,19.4,157.6,161.4,149.3,148.6,152.1,141.1,9,9.3,8.2
K 金融・保険業,20,20.3,19.4,164.8,167.5,160,145.7,147.9,141.8,19.1,19.6,18.2
L 不動産業,19.6,20.3,18.5,149.9,160.2,130.1,138.2,146.4,122.5,11.7,13.8,7.6
"M 飲食店,宿泊業",19.8,20.8,18.2,154.9,165.3,137,143.2,152.2,127.8,11.7,13.1,9.2
"N 医療,福祉",20.3,20.1,20.3,158.3,158,158.5,149,148.7,149.2,9.3,9.3,9.3
"O 教育,学習支援業",18.1,18.1,18.2,124.9,120.6,129.6,118.1,115.6,120.8,6.8,5,8.8
P 複合サービス事業,19.2,19.4,18.2,162.3,165.6,147.4,138.8,140.3,132,23.5,25.3,15.4
Q サービス業（他に分類されないもの）,19,19.8,18,150,164.1,131.1,134,144.2,120.4,16,19.9,10.7
,,,,,,,,,,,,
東京都の賃金、労働時間及び雇用の動き（毎月勤労統計調査）平成１９年１０月分,,,,,,,,,,,,
第９－４表　産業、性別常用労働者の一人平均月間出勤日数及び実労働時間　（事業所規模５００人以上）,,,,,,,,,,,,
