産業,出勤日数／計(日),出勤日数／男(日),出勤日数／女(日),総実労働時間／計(時間),総実労働時間／男(時間),総実労働時間／女(時間),所定内労働時間／計(時間),所定内労働時間／男(時間),所定内労働時間／女(時間),所定外労働時間／計(時間),所定外労働時間／男(時間),所定外労働時間／女(時間)
TL 調査産業計,19.5,19.6,19.1,158.6,163.7,147.9,143,146.5,135.7,15.6,17.2,12.2
D 鉱業,-,-,-,-,-,-,-,-,-,-,-,-
E 建設業,19.3,19.5,18.3,161.9,163.1,155.9,145.4,146.2,141.6,16.5,16.9,14.3
F 製造業,18.4,18.6,17.8,158.1,160.8,147,142.1,144.1,133.9,16,16.7,13.1
G 電気・ガス・熱供給・水道業,Ｘ,Ｘ,Ｘ,Ｘ,Ｘ,Ｘ,Ｘ,Ｘ,Ｘ,Ｘ,Ｘ,Ｘ
H 情報通信業,20.1,20.2,19.3,175.4,177.5,165.9,149.5,151.5,140.2,25.9,26,25.7
I 運輸業,19.5,20,17.9,159.1,166.3,133.2,144.9,150.7,124.1,14.2,15.6,9.1
J 卸売・小売業,19.9,20.1,19.4,156.2,159.3,149.2,147.8,150.6,141.6,8.4,8.7,7.6
K 金融・保険業,20.2,20.2,20,165.3,166.7,163.1,146.6,147.5,145.1,18.7,19.2,18
L 不動産業,19.9,20.5,18.7,152,162.9,131.4,139.9,148.4,123.8,12.1,14.5,7.6
"M 飲食店,宿泊業",19.4,20.2,18,155,164.6,138.5,144.9,153.2,130.7,10.1,11.4,7.8
"N 医療,福祉",20.8,20.7,20.8,161.2,161.4,161,151.9,152.2,151.7,9.3,9.2,9.3
"O 教育,学習支援業",16.9,16.1,17.8,118.2,108.5,128.6,111.9,104.1,120.3,6.3,4.4,8.3
P 複合サービス事業,18.6,18.5,18.9,163.6,168.5,137.7,138.3,140.7,125.4,25.3,27.8,12.3
Q サービス業（他に分類されないもの）,19.8,20.3,19,157.5,170.9,139.9,140.9,150.3,128.5,16.6,20.6,11.4
,,,,,,,,,,,,
東京都の賃金、労働時間及び雇用の動き（毎月勤労統計調査）平成１９年８月分,,,,,,,,,,,,
第９－４表　産業、性別常用労働者の一人平均月間出勤日数及び実労働時間　（事業所規模５００人以上）,,,,,,,,,,,,
