産業,出勤日数／計(日),出勤日数／男(日),出勤日数／女(日),総実労働時間／計(時間),総実労働時間／男(時間),総実労働時間／女(時間),所定内労働時間／計(時間),所定内労働時間／男(時間),所定内労働時間／女(時間),所定外労働時間／計(時間),所定外労働時間／男(時間),所定外労働時間／女(時間)
TL 調査産業計,18.1,18.2,17.7,148.3,153.3,137.9,133,136.2,126.2,15.3,17.1,11.7
D 鉱業,-,-,-,-,-,-,-,-,-,-,-,-
E 建設業,18.6,18.8,17.5,156.3,157.6,148.9,137.4,138,134,18.9,19.6,14.9
F 製造業,17.8,18,17.1,153.4,156.2,141.7,137.8,140,128.7,15.6,16.2,13
G 電気・ガス・熱供給・水道業,Ｘ,Ｘ,Ｘ,Ｘ,Ｘ,Ｘ,Ｘ,Ｘ,Ｘ,Ｘ,Ｘ,Ｘ
H 情報通信業,18.1,18.3,17.3,159.3,161.1,150.6,135,136.7,126.6,24.3,24.4,24
I 運輸業,18.6,19.2,16.4,152.2,160.5,121.4,138.1,145,112.6,14.1,15.5,8.8
J 卸売・小売業,18.2,18.3,18,144.4,147,138.6,135.5,137.5,131,8.9,9.5,7.6
K 金融・保険業,17.6,17.8,17.3,146.9,148.3,144.3,128.6,129.7,126.6,18.3,18.6,17.7
L 不動産業,18.4,18.9,17.6,142.3,150.9,126,131.6,138.1,119.4,10.7,12.8,6.6
"M 飲食店,宿泊業",19,19.9,17.5,153.6,163.5,136.7,143.5,152.2,128.6,10.1,11.3,8.1
"N 医療,福祉",18.4,18,18.6,143,141.4,143.7,134.1,132.5,134.8,8.9,8.9,8.9
"O 教育,学習支援業",16.9,15.9,18,116.5,107.1,126.9,110.6,103,119,5.9,4.1,7.9
P 複合サービス事業,18.3,18.2,19.3,171.7,177.6,141.8,132.8,134.8,122.9,38.9,42.8,18.9
Q サービス業（他に分類されないもの）,18.4,18.9,17.8,148.5,159.7,133.7,132.6,139.9,122.9,15.9,19.8,10.8
,,,,,,,,,,,,
東京都の賃金、労働時間及び雇用の動き（毎月勤労統計調査）平成１９年９月分,,,,,,,,,,,,
第９－４表　産業、性別常用労働者の一人平均月間出勤日数及び実労働時間　（事業所規模５００人以上）,,,,,,,,,,,,
