産業,現金給与総額／計(円),現金給与総額／男(円),現金給与総額／女(円),きまって支給する給与／計(円),きまって支給する給与／男(円),きまって支給する給与／女(円),所定内給与(円),所定外給与(円),特別に支払われた給与／計(円),特別に支払われた給与／男(円),特別に支払われた給与／女(円)
TL 調査産業計,347479,411632,235792,339174,401259,231086,319393,19781,8305,10373,4706
D 鉱業,Ｘ,Ｘ,Ｘ,Ｘ,Ｘ,Ｘ,Ｘ,Ｘ,Ｘ,Ｘ,Ｘ
E 建設業,382731,405749,234528,381640,404489,234528,353283,28357,1091,1260,0
F 製造業,390844,451224,234726,382533,440780,231932,364767,17766,8311,10444,2794
G 電気・ガス・熱供給・水道業,446858,461644,346613,446858,461644,346613,399536,47322,0,0,0
H 情報通信業,331346,350171,234719,329040,347822,232635,312463,16577,2306,2349,2084
I 運輸業,346460,366721,213119,339429,359152,209631,280221,59208,7031,7569,3488
J 卸売・小売業,336154,423922,206382,322925,405641,200623,308663,14262,13229,18281,5759
K 金融・保険業,480494,598932,334246,478564,596996,332325,454455,24109,1930,1936,1921
L 不動産業,370642,419497,240467,368880,417351,239729,354189,14691,1762,2146,738
"M 飲食店,宿泊業",197693,265874,130861,167250,222113,113473,153147,14103,30443,43761,17388
"N 医療,福祉",286865,421964,257253,286845,421964,257229,280099,6746,20,0,24
"O 教育,学習支援業",389662,448089,318320,389662,448089,318320,371885,17777,0,0,0
P 複合サービス事業,-,-,-,-,-,-,-,-,-,-,-
Q サービス業（他に分類されないもの）,347546,400074,235032,340034,391587,229608,317516,22518,7512,8487,5424
,,,,,,,,,,,
東京都の賃金、労働時間及び雇用の動き（毎月勤労統計調査）平成１９年８月分,,,,,,,,,,,
第８－２表　産業、性別常用労働者の一人平均月間現金給与額　（事業所規模３０人～９９人）,,,,,,,,,,,
