規模,産業,前月末労働者数／計(人),前月末労働者数／男(人),前月末労働者数／女(人),本月中の増加労働者数／計(人),本月中の増加労働者数／男(人),本月中の増加労働者数／女(人),本月中の減少労働者数／計(人),本月中の減少労働者数／男(人),本月中の減少労働者数／女(人),本月末労働者数／計(人),本月末労働者数／男(人),本月末労働者数／女(人),パートタイム労働者比率／計(％),パートタイム労働者比率／男(％),パートタイム労働者比率／女(％)
30人以上,TL 調査産業計,4377591,2867771,1509820,90913,51497,39416,87154,50580,36574,4381350,2868688,1512662,14.6,7.1,29
30人以上,D 鉱業,2106,1716,390,41,41,0,24,12,12,2123,1745,378,1.8,0.1,9.8
30人以上,E 建設業,208187,180901,27286,3883,3547,336,2393,2013,380,209677,182435,27242,2.7,1.3,12.1
30人以上,F 製造業,513648,391719,121929,7555,5157,2398,7044,4786,2258,514159,392090,122069,6.2,1.7,20.6
30人以上,G 電気・ガス・熱供給・水道業,36526,29932,6594,235,162,73,138,113,25,36623,29981,6642,8.3,6.8,15.5
30人以上,H 情報通信業,509966,405272,104694,4503,3513,990,7897,4572,3325,506572,404213,102359,3.8,1.2,13.8
30人以上,I 運輸業,258873,225174,33699,3982,2958,1024,4765,3980,785,258090,224152,33938,12.3,9.3,32.1
30人以上,J 卸売・小売業,826041,506364,319677,16288,8580,7708,14590,8697,5893,827739,506247,321492,21.9,7.6,44.5
30人以上,K 金融・保険業,332965,195005,137960,8415,5541,2874,8504,6514,1990,332876,194032,138844,6,2.1,11.5
30人以上,L 不動産業,66106,46657,19449,1441,984,457,1466,978,488,66081,46663,19418,10.6,4.7,24.9
30人以上,"M 飲食店,宿泊業",172255,93840,78415,5622,2771,2851,5885,3087,2798,171992,93524,78468,55.8,40.8,73.6
30人以上,"N 医療,福祉",258221,63185,195036,5502,1137,4365,3854,785,3069,259869,63537,196332,23.2,18.2,24.8
30人以上,"O 教育,学習支援業",256052,141872,114180,6037,3919,2118,4321,3076,1245,257768,142715,115053,14.8,10.6,20.1
30人以上,P 複合サービス事業,42251,34205,8046,252,195,57,2239,1125,1114,40264,33275,6989,19.8,13.8,48.4
30人以上,Q サービス業（他に分類されないもの）,894394,551929,342465,27157,12992,14165,24034,10842,13192,897517,554079,343438,15.6,9.5,25.4
30人以上,"F09,10 食料品・たばこ",59569,35175,24394,1282,516,766,1199,603,596,59652,35088,24564,28.6,10,55.2
30人以上,F11 繊維,Ｘ,Ｘ,Ｘ,Ｘ,Ｘ,Ｘ,Ｘ,Ｘ,Ｘ,Ｘ,Ｘ,Ｘ,Ｘ,Ｘ,Ｘ
30人以上,F12 衣服,7894,2863,5031,81,76,5,43,4,39,7932,2935,4997,14.9,8.3,18.8
