産業,現金給与総額／計(円),現金給与総額／男(円),現金給与総額／女(円),きまって支給する給与／計(円),きまって支給する給与／男(円),きまって支給する給与／女(円),所定内給与(円),所定外給与(円),特別に支払われた給与／計(円),特別に支払われた給与／男(円),特別に支払われた給与／女(円)
TL 調査産業計,463368,535527,316481,420617,484922,289719,382393,38224,42751,50605,26762
D 鉱業,-,-,-,-,-,-,-,-,-,-,-
E 建設業,587096,628145,357094,505590,542209,300415,469178,36412,81506,85936,56679
F 製造業,476143,507151,342810,458464,489264,326027,419683,38781,17679,17887,16783
G 電気・ガス・熱供給・水道業,Ｘ,Ｘ,Ｘ,Ｘ,Ｘ,Ｘ,Ｘ,Ｘ,Ｘ,Ｘ,Ｘ
H 情報通信業,474913,498316,364890,456145,479056,348436,387560,68585,18768,19260,16454
I 運輸業,445213,477470,333343,421378,448743,326474,383974,37404,23835,28727,6869
J 卸売・小売業,494672,583984,308559,448258,524250,289901,424027,24231,46414,59734,18658
K 金融・保険業,735722,913623,408613,558726,673134,348361,510366,48360,176996,240489,60252
L 不動産業,382658,469663,216246,377764,463236,214283,352162,25602,4894,6427,1963
"M 飲食店,宿泊業",291399,349909,191859,275810,328906,185481,256219,19591,15589,21003,6378
"N 医療,福祉",379360,467405,344565,377473,463333,343542,344396,33077,1887,4072,1023
"O 教育,学習支援業",463998,505870,418184,345126,402417,282440,320443,24683,118872,103453,135744
P 複合サービス事業,363223,391067,214544,360831,388460,213299,328957,31874,2392,2607,1245
Q サービス業（他に分類されないもの）,322392,396377,228809,318280,391891,225170,286989,31291,4112,4486,3639
,,,,,,,,,,,
東京都の賃金、労働時間及び雇用の動き（毎月勤労統計調査）平成１９年５月分,,,,,,,,,,,
第８－４表　産業、性別常用労働者の一人平均月間現金給与額　（事業所規模５００人以上）,,,,,,,,,,,
