事業所規模,産業,和暦年,西暦年,年平均・月,出勤日数／計(日),出勤日数／男(日),出勤日数／女(日),総実労働時間／計(時間),総実労働時間／男(時間),総実労働時間／女(時間),所定内労働時間／計(時間),所定内労働時間／男(時間),所定内労働時間／女(時間),所定外労働時間／計(時間),所定外労働時間／男(時間),所定外労働時間／女(時間)
５人以上,TL 調査産業計,平成17,2005,年平均,18.8,19.4,17.9,148.5,159.1,130.6,137.3,145.8,123,11.2,13.3,7.6
５人以上,TL 調査産業計,平成18,2006,年平均,18.9,19.5,17.8,149.9,160.8,131.4,138.2,146.8,123.6,11.7,14,7.8
５人以上,TL 調査産業計,平成19,2007,年平均,18.9,19.5,17.8,150.4,161.2,132.1,138.6,147,124.4,11.8,14.2,7.7
５人以上,TL 調査産業計,平成19,2007,1月,17.6,18.2,16.7,140.3,150.3,123.2,129,136.8,115.8,11.3,13.5,7.4
５人以上,TL 調査産業計,平成19,2007,2月,18.5,19.2,17.4,148,158.6,129.5,136.2,144.3,122.1,11.8,14.3,7.4
５人以上,TL 調査産業計,平成19,2007,3月,19,19.7,17.9,152.4,163.4,133.6,139.8,148.2,125.4,12.6,15.2,8.2
５人以上,TL 調査産業計,平成19,2007,4月,19.3,20,18.2,154.7,165.6,136.5,141.9,150.4,127.6,12.8,15.2,8.9
５人以上,TL 調査産業計,平成19,2007,5月,18.7,19.2,17.7,148.5,158.6,131.3,136.8,144.7,123.4,11.7,13.9,7.9
５人以上,TL 調査産業計,平成19,2007,6月,19.8,20.4,18.7,156.8,167.7,138.1,145,153.6,130.4,11.8,14.1,7.7
５人以上,TL 調査産業計,平成19,2007,7月,19.4,20.1,18.3,153.8,165.1,135,142.1,150.9,127.4,11.7,14.2,7.6
５人以上,TL 調査産業計,平成19,2007,8月,18.8,19.4,17.7,148.9,159.6,131,137.7,146,123.9,11.2,13.6,7.1
５人以上,TL 調査産業計,平成19,2007,9月,18.3,18.9,17.3,145.3,155.7,127.8,134,142,120.6,11.3,13.7,7.2
５人以上,TL 調査産業計,平成19,2007,10月,19.2,19.9,18,151.7,163.2,132.6,140.1,149.1,125.1,11.6,14.1,7.5
５人以上,TL 調査産業計,平成19,2007,11月,19.6,20.3,18.4,155.7,167.4,136.1,143.8,153,128.4,11.9,14.4,7.7
５人以上,TL 調査産業計,平成19,2007,12月,18.7,19.3,17.6,148.8,159.5,130.5,136.9,145.2,122.8,11.9,14.3,7.7
５人以上,D 鉱業,平成17,2005,年平均,19.4,19.4,19,146.8,147.3,144.7,143.2,143.8,140.2,3.6,3.5,4.5
