産業,出勤日数／計(日),出勤日数／男(日),出勤日数／女(日),総実労働時間／計(時間),総実労働時間／男(時間),総実労働時間／女(時間),所定内労働時間／計(時間),所定内労働時間／男(時間),所定内労働時間／女(時間),所定外労働時間／計(時間),所定外労働時間／男(時間),所定外労働時間／女(時間)
TL 調査産業計,20,20.6,19,157.7,169.3,137.9,145.9,154.8,130.7,11.8,14.5,7.2
D 鉱業,Ｘ,Ｘ,Ｘ,Ｘ,Ｘ,Ｘ,Ｘ,Ｘ,Ｘ,Ｘ,Ｘ,Ｘ
E 建設業,21.3,21.5,19.5,181,184.4,158.7,166.2,168.6,150.4,14.8,15.8,8.3
F 製造業,21.6,21.8,20.9,172.3,178.4,157,160.4,164.4,150.3,11.9,14,6.7
G 電気・ガス・熱供給・水道業,19.5,19.6,18.9,160.4,161.8,150.6,148.2,148.8,144,12.2,13,6.6
H 情報通信業,19.1,19.1,19.3,159.1,161.5,147.4,147.7,149.1,141.1,11.4,12.4,6.3
I 運輸業,21.3,21.5,19.5,186.9,193.2,143.8,154.4,158.3,128.1,32.5,34.9,15.7
J 卸売・小売業,20.6,21,20.1,157.8,170,141,148.5,158.6,134.7,9.3,11.4,6.3
K 金融・保険業,19.9,20.2,19.5,161.1,165.5,155.8,148.1,153.3,141.9,13,12.2,13.9
L 不動産業,20.7,21,19.8,161.1,167.8,143.1,150.7,157,133.8,10.4,10.8,9.3
"M 飲食店,宿泊業",16.2,17.7,14.8,112.2,133.2,91.5,105.8,124.6,87.3,6.4,8.6,4.2
"N 医療,福祉",18,17.3,18.1,124.5,123.1,124.9,121.9,120,122.4,2.6,3.1,2.5
"O 教育,学習支援業",19.8,21.1,18.2,155.5,169.9,138.5,144.7,156.5,130.8,10.8,13.4,7.7
P 複合サービス事業,-,-,-,-,-,-,-,-,-,-,-,-
Q サービス業（他に分類されないもの）,20.4,20.7,19.7,163.9,170.7,149.4,149.8,154.6,139.6,14.1,16.1,9.8
,,,,,,,,,,,,
東京都の賃金、労働時間及び雇用の動き（毎月勤労統計調査）平成１９年６月分,,,,,,,,,,,,
第９－２表　産業、性別常用労働者の一人平均月間出勤日数及び実労働時間　（事業所規模３０人～９９人）,,,,,,,,,,,,
