産業,出勤日数／計(日),出勤日数／男(日),出勤日数／女(日),総実労働時間／計(時間),総実労働時間／男(時間),総実労働時間／女(時間),所定内労働時間／計(時間),所定内労働時間／男(時間),所定内労働時間／女(時間),所定外労働時間／計(時間),所定外労働時間／男(時間),所定外労働時間／女(時間)
TL 調査産業計,19.2,19.4,18.7,157.4,163.1,145.4,140.5,144.5,132.1,16.9,18.6,13.3
D 鉱業,-,-,-,-,-,-,-,-,-,-,-,-
E 建設業,20.7,20.9,19.5,175.9,177.4,167.2,156.5,157.4,151.1,19.4,20,16.1
F 製造業,19,19.2,18,162.5,165.6,149.3,145,147.5,134.4,17.5,18.1,14.9
G 電気・ガス・熱供給・水道業,Ｘ,Ｘ,Ｘ,Ｘ,Ｘ,Ｘ,Ｘ,Ｘ,Ｘ,Ｘ,Ｘ,Ｘ
H 情報通信業,19.4,19.5,18.9,173.4,174.7,167.6,144.9,146.1,139.1,28.5,28.6,28.5
I 運輸業,19,19.3,17.6,156.4,163,131.6,140.4,145.2,122.2,16,17.8,9.4
J 卸売・小売業,19.1,19.5,18.3,151.7,156.5,141.7,141,145,132.6,10.7,11.5,9.1
K 金融・保険業,19.3,19.6,18.8,159,161.3,154.7,140.2,142.3,136.2,18.8,19,18.5
L 不動産業,20.3,20.7,19.3,152.1,161.7,133.8,140.6,148.2,126.1,11.5,13.5,7.7
"M 飲食店,宿泊業",18.4,19.2,16.8,146.3,156,129.1,137,145.5,121.8,9.3,10.5,7.3
"N 医療,福祉",20.3,20,20.4,159.5,157.9,160.2,148.3,147.5,148.7,11.2,10.4,11.5
"O 教育,学習支援業",19.6,18.2,21.1,134.6,122.9,147.6,127.3,117.4,138.2,7.3,5.5,9.4
P 複合サービス事業,19.3,19.1,20.2,170.2,176.4,137.7,137,140.6,118.4,33.2,35.8,19.3
Q サービス業（他に分類されないもの）,18.7,19.4,17.7,149.7,163.5,131.8,133.1,143.2,120,16.6,20.3,11.8
,,,,,,,,,,,,
東京都の賃金、労働時間及び雇用の動き（毎月勤労統計調査）平成１９年３月分,,,,,,,,,,,,
第９－４表　産業、性別常用労働者の一人平均月間出勤日数及び実労働時間　（事業所規模５００人以上）,,,,,,,,,,,,
