規模,産業,一般労働者／出勤日数(日),一般労働者／総実労働時間(時間),一般労働者／所定内労働時間(時間),一般労働者／所定外労働時間(時間),パートタイム労働者／出勤日数(日),パートタイム労働者／総実労働時間(時間),パートタイム労働者／所定内労働時間(時間),パートタイム労働者／所定外労働時間(時間)
５人以上,TL 調査産業計,19.7,163.7,149.7,14,14.5,90,86.6,3.4
５人以上,D 鉱業,19.2,156.4,139.9,16.5,13.4,61,61,0
５人以上,E 建設業,20.6,171.8,156.5,15.3,16,113.8,110,3.8
５人以上,F 製造業,19.6,163.1,150.1,13,17.2,108.4,105.2,3.2
５人以上,G 電気・ガス・熱供給・水道業,18,149.3,136,13.3,15.2,116,112.8,3.2
５人以上,H 情報通信業,19.5,168,147.4,20.6,14.8,104.6,95.4,9.2
５人以上,I 運輸業,20.3,181.4,155.1,26.3,16,108.7,96.8,11.9
５人以上,J 卸売・小売業,20.2,164.3,154.5,9.8,15.7,99.7,95.6,4.1
５人以上,K 金融・保険業,18.8,153.9,138.4,15.5,15.2,102.9,98.8,4.1
５人以上,L 不動産業,20.1,164.3,152.4,11.9,16.4,90.8,90.1,0.7
５人以上,"M 飲食店,宿泊業",21.6,188.6,175.8,12.8,13.4,81.3,78.9,2.4
５人以上,"N 医療,福祉",19,148.5,141.6,6.9,12.6,68,66.9,1.1
５人以上,"O 教育,学習支援業",18.2,137.4,129.9,7.5,8.9,53.3,52.2,1.1
５人以上,P 複合サービス事業,19.3,167.7,148.3,19.4,19.1,123.4,107.2,16.2
５人以上,Q サービス業（他に分類されないもの）,19.7,164.6,149.9,14.7,15.4,95.5,92.5,3
,,,,,,,,,
東京都の賃金、労働時間及び雇用の動き（毎月勤労統計調査）平成１９年１２月分,,,,,,,,,
第５－１表　産業、就業形態別労働者の一人平均月間出勤日数及び実労働時間　（事業所規模５人以上）,,,,,,,,,
