産業,出勤日数／計(日),出勤日数／男(日),出勤日数／女(日),総実労働時間／計(時間),総実労働時間／男(時間),総実労働時間／女(時間),所定内労働時間／計(時間),所定内労働時間／男(時間),所定内労働時間／女(時間),所定外労働時間／計(時間),所定外労働時間／男(時間),所定外労働時間／女(時間)
TL 調査産業計,19.7,20.3,18.5,156.3,168.6,135.2,143.7,152.8,127.9,12.6,15.8,7.3
D 鉱業,Ｘ,Ｘ,Ｘ,Ｘ,Ｘ,Ｘ,Ｘ,Ｘ,Ｘ,Ｘ,Ｘ,Ｘ
E 建設業,21.1,21.4,19.2,180.3,184.1,155.3,162.1,164.6,145.8,18.2,19.5,9.5
F 製造業,21.1,21.7,19.5,173,177.4,161.8,159.7,162.3,153.1,13.3,15.1,8.7
G 電気・ガス・熱供給・水道業,18.9,19,18.6,159,160.8,147.6,143.4,143.9,140.6,15.6,16.9,7
H 情報通信業,18.9,18.9,18.7,157.6,159.7,146.8,145,145.9,140.3,12.6,13.8,6.5
I 運輸業,20.6,20.8,19.3,186.2,192.7,145.4,151,154.6,128.6,35.2,38.1,16.8
J 卸売・小売業,20.1,20.8,19.2,154.3,169,133.6,145,157.2,127.7,9.3,11.8,5.9
K 金融・保険業,19.8,20.3,19.1,160.8,167.4,152.7,147.9,153.7,140.7,12.9,13.7,12
L 不動産業,20.7,20.9,20.1,162.6,168.9,145.8,150.9,156.3,136.6,11.7,12.6,9.2
"M 飲食店,宿泊業",15.8,17,14.5,109,128.8,89.3,102.6,119.9,85.5,6.4,8.9,3.8
"N 医療,福祉",18,17,18.2,122,123.2,121.8,118.5,120.2,118.2,3.5,3,3.6
"O 教育,学習支援業",19,20.2,17.7,149.1,161.5,134.3,137,146.1,126.2,12.1,15.4,8.1
P 複合サービス事業,-,-,-,-,-,-,-,-,-,-,-,-
Q サービス業（他に分類されないもの）,20.3,20.7,19.5,166.6,173.6,151.4,151.7,156.4,141.4,14.9,17.2,10
,,,,,,,,,,,,
東京都の賃金、労働時間及び雇用の動き（毎月勤労統計調査）平成１９年１１月分,,,,,,,,,,,,
第９－２表　産業、性別常用労働者の一人平均月間出勤日数及び実労働時間　（事業所規模３０人～９９人）,,,,,,,,,,,,
