産業,現金給与総額／計(円),現金給与総額／男(円),現金給与総額／女(円),きまって支給する給与／計(円),きまって支給する給与／男(円),きまって支給する給与／女(円),所定内給与(円),所定外給与(円),特別に支払われた給与／計(円),特別に支払われた給与／男(円),特別に支払われた給与／女(円)
TL 調査産業計,383658,443323,265908,375999,435222,259122,347637,28362,7659,8101,6786
D 鉱業,529274,589334,327617,490746,549080,294884,471387,19359,38528,40254,32733
E 建設業,393048,414259,234569,392908,414141,234259,364628,28280,140,118,310
F 製造業,387981,439750,235364,381863,433034,231007,356005,25858,6118,6716,4357
G 電気・ガス・熱供給・水道業,501142,532701,315370,501142,532701,315370,444377,56765,0,0,0
H 情報通信業,408737,443822,302559,398064,433080,292097,362522,35542,10673,10742,10462
I 運輸業,353503,369187,215755,351994,367569,215204,294264,57730,1509,1618,551
J 卸売・小売業,351522,443824,213854,344536,435344,209097,325211,19325,6986,8480,4757
K 金融・保険業,483130,616017,315183,479816,613887,310374,459047,20769,3314,2130,4809
L 不動産業,398304,456116,260820,370260,423958,242560,344933,25327,28044,32158,18260
"M 飲食店,宿泊業",409370,468072,286475,403291,460779,282938,378887,24404,6079,7293,3537
"N 医療,福祉",341367,438589,306592,340240,437445,305471,316891,23349,1127,1144,1121
"O 教育,学習支援業",444061,517846,334191,439544,511234,332794,430303,9241,4517,6612,1397
P 複合サービス事業,313545,361955,130882,309816,357238,130882,275362,34454,3729,4717,0
Q サービス業（他に分類されないもの）,370484,436030,269388,356162,421413,255520,329031,27131,14322,14617,13868
,,,,,,,,,,,
東京都の賃金、労働時間及び雇用の動き（毎月勤労統計調査）平成１９年９月分,,,,,,,,,,,
第８－３表　産業、性別常用労働者の一人平均月間現金給与額　（事業所規模１００～４９９人）,,,,,,,,,,,
