産業,出勤日数／計(日),出勤日数／男(日),出勤日数／女(日),総実労働時間／計(時間),総実労働時間／男(時間),総実労働時間／女(時間),所定内労働時間／計(時間),所定内労働時間／男(時間),所定内労働時間／女(時間),所定外労働時間／計(時間),所定外労働時間／男(時間),所定外労働時間／女(時間)
TL 調査産業計,17.9,19,16.6,136.7,152,117,129.8,142.5,113.5,6.9,9.5,3.5
D 鉱業,-,-,-,-,-,-,-,-,-,-,-,-
E 建設業,19.6,20.1,17.8,162.2,168.5,137.9,150.7,155,134,11.5,13.5,3.9
F 製造業,19.1,19.4,18.2,150.7,159,131.8,142.7,148.9,128.5,8,10.1,3.3
G 電気・ガス・熱供給・水道業,19.5,19.5,19.8,161.7,162.8,157.2,150.5,151.9,144.4,11.2,10.9,12.8
H 情報通信業,19.3,19.6,18.5,153.9,158.3,143.5,139.6,142.3,133.4,14.3,16,10.1
I 運輸業,19.8,19.8,19.7,168,173.6,143.3,147.5,150,136.3,20.5,23.6,7
J 卸売・小売業,18,18.9,16.8,135.5,148.7,118.9,130.4,142.3,115.4,5.1,6.4,3.5
K 金融・保険業,19.8,20.4,19.3,158.9,170.6,148.9,146.7,154.2,140.3,12.2,16.4,8.6
L 不動産業,19.4,19.8,18.6,152,161.7,129.2,145.3,153.2,126.6,6.7,8.5,2.6
"M 飲食店,宿泊業",15.4,16.5,14.4,109,125.5,94.3,104.9,118.7,92.7,4.1,6.8,1.6
"N 医療,福祉",15.7,17.2,15.2,105.4,124.7,100.3,103,121.3,98.2,2.4,3.4,2.1
"O 教育,学習支援業",13.6,14.8,12.8,98,106.9,92,96.2,105,90.2,1.8,1.9,1.8
P 複合サービス事業,19.2,19.7,18.9,153.7,156.8,150.8,144.7,148.3,141.3,9,8.5,9.5
Q サービス業（他に分類されないもの）,19.3,20.1,18.2,149.2,161.6,131.4,142.1,152.3,127.5,7.1,9.3,3.9
,,,,,,,,,,,,
東京都の賃金、労働時間及び雇用の動き（毎月勤労統計調査）平成１９年８月分,,,,,,,,,,,,
第９－１表　産業、性別常用労働者の一人平均月間出勤日数及び実労働時間　（事業所規模５人～２９人）,,,,,,,,,,,,
