規模,産業,前月末労働者数／計(人),前月末労働者数／男(人),前月末労働者数／女(人),本月中の増加労働者数／計(人),本月中の増加労働者数／男(人),本月中の増加労働者数／女(人),本月中の減少労働者数／計(人),本月中の減少労働者数／男(人),本月中の減少労働者数／女(人),本月末労働者数／計(人),本月末労働者数／男(人),本月末労働者数／女(人),パートタイム労働者比率／計(％),パートタイム労働者比率／男(％),パートタイム労働者比率／女(％)
５人以上,TL 調査産業計,6508532,4082562,2425970,116448,57359,59089,96626,52694,43932,6528354,4087227,2441127,20.6,10.8,37.1
５人以上,D 鉱業,2123,1745,378,19,17,2,29,29,0,2113,1733,380,1.8,0.1,9.7
５人以上,E 建設業,348056,292374,55682,5232,4630,602,3754,3107,647,349534,293897,55637,4.2,1.8,17.3
５人以上,F 製造業,724852,538784,186068,5470,3156,2314,8043,5821,2222,722279,536119,186160,8.6,2.3,26.6
５人以上,G 電気・ガス・熱供給・水道業,39269,32114,7155,103,103,0,114,67,47,39258,32150,7108,8.7,6.9,17
５人以上,H 情報通信業,605600,475148,130452,6137,4412,1725,5730,4482,1248,606007,475078,130929,4.2,1.8,13
５人以上,I 運輸業,322359,277651,44708,6189,5405,784,4711,3686,1025,323837,279370,44467,12.6,9.3,33.1
５人以上,J 卸売・小売業,1422010,837180,584830,27824,11584,16240,20120,10147,9973,1429714,838617,591097,28.4,13.6,49.4
５人以上,K 金融・保険業,403192,229577,173615,4947,2408,2539,8154,3860,4294,399985,228125,171860,7.5,2.1,14.8
５人以上,L 不動産業,112905,80687,32218,1860,1368,492,1965,1459,506,112800,80596,32204,10.8,4.5,26.7
５人以上,"M 飲食店,宿泊業",482232,237899,244333,19626,8836,10790,14353,7762,6591,487505,238973,248532,66.8,53.1,79.9
５人以上,"N 医療,福祉",407159,94128,313031,8395,1506,6889,8218,2427,5791,407336,93207,314129,32.1,24.6,34.3
５人以上,"O 教育,学習支援業",348098,184839,163259,3485,1454,2031,1618,566,1052,349965,185727,164238,22,17.2,27.3
５人以上,P 複合サービス事業,55268,40720,14548,651,202,449,487,395,92,55432,40527,14905,17.5,10.6,36.1
５人以上,Q サービス業（他に分類されないもの）,1235409,759716,475693,26510,12278,14232,19330,8886,10444,1242589,763108,479481,16.7,10.1,27.3
５人以上,"F09,10 食料品・たばこ",75075,41594,33481,1136,521,615,1101,623,478,75110,41492,33618,32.2,8.9,60.9
５人以上,F11 繊維,2565,1710,855,44,44,0,7,4,3,2602,1750,852,5.5,0,16.9
５人以上,F12 衣服,24229,13295,10934,255,4,251,511,472,39,23973,12827,11146,11.2,3.3,20.2
５人以上,F13 木材,2023,1388,635,104,1,103,220,14,206,1907,1375,532,12.1,0.6,41.7
５人以上,F14 家具,7419,6172,1247,0,0,0,95,93,2,7324,6079,1245,17.3,13.2,37.3
