産業,現金給与総額／計(円),現金給与総額／男(円),現金給与総額／女(円),きまって支給する給与／計(円),きまって支給する給与／男(円),きまって支給する給与／女(円),所定内給与(円),所定外給与(円),特別に支払われた給与／計(円),特別に支払われた給与／男(円),特別に支払われた給与／女(円)
TL 調査産業計,521471,598834,367248,373417,431049,258529,344550,28867,148054,167785,108719
D 鉱業,475018,523682,308950,471404,520129,305128,450041,21363,3614,3553,3822
E 建設業,503942,532188,290204,392140,412216,240223,363321,28819,111802,119972,49981
F 製造業,515560,588809,300358,377627,427726,230438,351032,26595,137933,161083,69920
G 電気・ガス・熱供給・水道業,504815,536544,320179,504815,536544,320179,443767,61048,0,0,0
H 情報通信業,521171,552703,426636,382626,415491,284096,344857,37769,138545,137212,142540
I 運輸業,443184,455305,336538,344495,359054,216400,294402,50093,98689,96251,120138
J 卸売・小売業,598037,756657,351306,352119,439580,216075,331744,20375,245918,317077,135231
K 金融・保険業,494437,664670,296328,463755,612284,290904,440565,23190,30682,52386,5424
L 不動産業,491861,567480,314448,363241,416570,238123,334419,28822,128620,150910,76325
"M 飲食店,宿泊業",549041,643812,342544,429038,498809,277013,404721,24317,120003,145003,65531
"N 医療,福祉",542486,691241,489274,337217,437203,301450,312510,24707,205269,254038,187824
"O 教育,学習支援業",567981,691290,385478,434476,504178,331313,422192,12284,133505,187112,54165
P 複合サービス事業,300382,338363,152690,298112,335834,151423,268760,29352,2270,2529,1267
Q サービス業（他に分類されないもの）,501367,589935,359554,357871,421202,256467,329638,28233,143496,168733,103087
,,,,,,,,,,,
東京都の賃金、労働時間及び雇用の動き（毎月勤労統計調査）平成１９年７月分,,,,,,,,,,,
第８－３表　産業、性別常用労働者の一人平均月間現金給与額　（事業所規模１００～４９９人）,,,,,,,,,,,
