産業,出勤日数／計(日),出勤日数／男(日),出勤日数／女(日),総実労働時間／計(時間),総実労働時間／男(時間),総実労働時間／女(時間),所定内労働時間／計(時間),所定内労働時間／男(時間),所定内労働時間／女(時間),所定外労働時間／計(時間),所定外労働時間／男(時間),所定外労働時間／女(時間)
TL 調査産業計,18.6,19,17.9,152.4,159.6,137.7,138.4,143.8,127.4,14,15.8,10.3
D 鉱業,17.6,17.8,17.1,146,147.7,140.1,131.3,132.6,126.8,14.7,15.1,13.3
E 建設業,20.3,20.5,19,168.5,170,157,152.7,153.6,145.7,15.8,16.4,11.3
F 製造業,19.4,19.6,18.9,159.3,163.2,147.9,146.5,149.9,136.7,12.8,13.3,11.2
G 電気・ガス・熱供給・水道業,17.9,18.1,17,150.4,153.5,132,133.5,135.7,120.7,16.9,17.8,11.3
H 情報通信業,17.8,17.9,17.4,159.4,163.2,147.8,137.1,139.4,129.9,22.3,23.8,17.9
I 運輸業,19.7,19.8,19,168.6,170.3,153.4,146.9,147.8,139,21.7,22.5,14.4
J 卸売・小売業,18.8,19.3,18.2,147.3,157.3,131.8,138.4,147.3,124.6,8.9,10,7.2
K 金融・保険業,17.4,17.8,16.8,138.4,142.3,133.4,125.8,130.1,120.3,12.6,12.2,13.1
L 不動産業,19.4,20,18,158.1,166.4,138.7,143,150.4,125.7,15.1,16,13
"M 飲食店,宿泊業",18.8,19.6,17.1,170.7,178.4,153.2,155,163.7,135.3,15.7,14.7,17.9
"N 医療,福祉",18.4,18.4,18.4,139.8,139.9,139.9,132.8,133.5,132.6,7,6.4,7.3
"O 教育,学習支援業",18,18.8,16.9,131.7,137.3,122.9,125.5,130.7,117.3,6.2,6.6,5.6
P 複合サービス事業,17.6,17.7,17.2,132.7,142.4,96.2,122.6,132,87.5,10.1,10.4,8.7
Q サービス業（他に分類されないもの）,18.1,18.5,17.6,150.1,157.8,137.6,135.7,141.1,126.9,14.4,16.7,10.7
,,,,,,,,,,,,
東京都の賃金、労働時間及び雇用の動き（毎月勤労統計調査）平成１９年２月分,,,,,,,,,,,,
第９－３表　産業、性別常用労働者の一人平均月間出勤日数及び実労働時間　（事業所規模１００人～４９９人）,,,,,,,,,,,,
