産業,現金給与総額／計(円),現金給与総額／男(円),現金給与総額／女(円),きまって支給する給与／計(円),きまって支給する給与／男(円),きまって支給する給与／女(円),所定内給与(円),所定外給与(円),特別に支払われた給与／計(円),特別に支払われた給与／男(円),特別に支払われた給与／女(円)
TL 調査産業計,1222811,1461881,730650,427861,493295,293155,389696,38165,794950,968586,437495
D 鉱業,-,-,-,-,-,-,-,-,-,-,-
E 建設業,1364385,1474536,746488,512278,549635,302722,475750,36528,852107,924901,443766
F 製造業,1456467,1578761,941426,461983,494753,323973,422330,39653,994484,1084008,617453
G 電気・ガス・熱供給・水道業,Ｘ,Ｘ,Ｘ,Ｘ,Ｘ,Ｘ,Ｘ,Ｘ,Ｘ,Ｘ,Ｘ
H 情報通信業,1355161,1430630,1004012,460935,484705,350338,392332,68603,894226,945925,653674
I 運輸業,858992,944095,549265,420916,447490,324202,379637,41279,438076,496605,225063
J 卸売・小売業,1483395,1781311,819629,451576,521839,295028,428510,23066,1031819,1259472,524601
K 金融・保険業,1700563,2173881,865473,573933,698060,354932,527625,46308,1126630,1475821,510541
L 不動産業,1132049,1477185,497218,372027,464834,201322,350188,21839,760022,1012351,295896
"M 飲食店,宿泊業",668972,835246,388289,284436,338928,192450,258295,26141,384536,496318,195839
"N 医療,福祉",1058545,1267468,975831,386115,475808,350605,349928,36187,672430,791660,625226
"O 教育,学習支援業",1139487,1392049,858441,338097,394613,275208,316428,21669,801390,997436,583233
P 複合サービス事業,Ｘ,Ｘ,Ｘ,Ｘ,Ｘ,Ｘ,Ｘ,Ｘ,Ｘ,Ｘ,Ｘ
Q サービス業（他に分類されないもの）,722407,968572,389528,331233,406450,229520,298223,33010,391174,562122,160008
,,,,,,,,,,,
東京都の賃金、労働時間及び雇用の動き（毎月勤労統計調査）平成１９年１２月分,,,,,,,,,,,
第８－４表　産業、性別常用労働者の一人平均月間現金給与額　（事業所規模５００人以上）,,,,,,,,,,,
