産業,出勤日数／計(日),出勤日数／男(日),出勤日数／女(日),総実労働時間／計(時間),総実労働時間／男(時間),総実労働時間／女(時間),所定内労働時間／計(時間),所定内労働時間／男(時間),所定内労働時間／女(時間),所定外労働時間／計(時間),所定外労働時間／男(時間),所定外労働時間／女(時間)
TL 調査産業計,19.4,19.8,18.7,159.3,166.6,144.8,144.4,149.9,133.4,14.9,16.7,11.4
D 鉱業,19.8,19.9,19.6,161.5,163,156.2,147.6,148.3,145,13.9,14.7,11.2
E 建設業,21.7,21.9,20.3,178.5,179.7,169.4,162,162.6,157.3,16.5,17.1,12.1
F 製造業,19.5,19.7,19,160.2,164.5,147.9,146.9,150.5,136.5,13.3,14,11.4
G 電気・ガス・熱供給・水道業,19.5,19.8,18,163.4,168,136.4,144.8,147.6,128.5,18.6,20.4,7.9
H 情報通信業,19.7,19.8,19.1,178.4,183,164.6,153.7,156.8,144.2,24.7,26.2,20.4
I 運輸業,19.2,19.3,17.8,166.8,169.3,142.7,144.1,145.7,129,22.7,23.6,13.7
J 卸売・小売業,19.5,20,18.7,153,164.1,135.7,142.9,152.4,128.1,10.1,11.7,7.6
K 金融・保険業,18.7,19.2,18.1,151,154.4,146.6,135.4,140.1,129.4,15.6,14.3,17.2
L 不動産業,19.8,20.2,18.6,162.7,169.6,146.3,146.5,152.8,131.6,16.2,16.8,14.7
"M 飲食店,宿泊業",19.3,20.5,16.6,167.3,181.9,137.8,155.9,169.9,127.5,11.4,12,10.3
"N 医療,福祉",19.1,18.6,19.3,145.5,143,146.5,138.1,136.4,138.8,7.4,6.6,7.7
"O 教育,学習支援業",19.7,20.2,18.8,142.7,147.8,134.7,135.6,140.3,128.2,7.1,7.5,6.5
P 複合サービス事業,18.4,18.4,18.2,140.4,151.1,101.1,130.3,140.4,93.3,10.1,10.7,7.8
Q サービス業（他に分類されないもの）,19,19.3,18.6,155.2,160.8,146.5,140.8,145.1,134.1,14.4,15.7,12.4
,,,,,,,,,,,,
東京都の賃金、労働時間及び雇用の動き（毎月勤労統計調査）平成１９年３月分,,,,,,,,,,,,
第９－３表　産業、性別常用労働者の一人平均月間出勤日数及び実労働時間　（事業所規模１００人～４９９人）,,,,,,,,,,,,
