産業,現金給与総額／計(円),現金給与総額／男(円),現金給与総額／女(円),きまって支給する給与／計(円),きまって支給する給与／男(円),きまって支給する給与／女(円),所定内給与(円),所定外給与(円),特別に支払われた給与／計(円),特別に支払われた給与／男(円),特別に支払われた給与／女(円)
TL 調査産業計,366339,433312,247931,343726,404083,237015,321529,22197,22613,29229,10916
D 鉱業,Ｘ,Ｘ,Ｘ,Ｘ,Ｘ,Ｘ,Ｘ,Ｘ,Ｘ,Ｘ,Ｘ
E 建設業,423901,450082,251419,384886,406521,242351,353615,31271,39015,43561,9068
F 製造業,410699,471386,253243,391221,450520,237368,370416,20805,19478,20866,15875
G 電気・ガス・熱供給・水道業,509009,526638,385584,443672,459248,334624,396616,47056,65337,67390,50960
H 情報通信業,349336,368642,251178,323447,342132,228446,305623,17824,25889,26510,22732
I 運輸業,359865,373974,249515,354573,368394,246480,287688,66885,5292,5580,3035
J 卸売・小売業,345648,447630,200734,316999,400821,197890,302921,14078,28649,46809,2844
K 金融・保険業,530082,655322,377052,514743,639035,362872,481047,33696,15339,16287,14180
L 不動産業,410461,462738,266397,385236,431938,256535,367801,17435,25225,30800,9862
"M 飲食店,宿泊業",171311,219502,120173,169893,218125,118710,157534,12359,1418,1377,1463
"N 医療,福祉",279976,401148,253950,278995,401148,252759,271304,7691,981,0,1191
"O 教育,学習支援業",461489,524271,383988,418548,471031,353760,394364,24184,42941,53240,30228
P 複合サービス事業,-,-,-,-,-,-,-,-,-,-,-
Q サービス業（他に分類されないもの）,365459,418161,248150,340644,391578,227270,316283,24361,24815,26583,20880
,,,,,,,,,,,
東京都の賃金、労働時間及び雇用の動き（毎月勤労統計調査）平成１９年４月分,,,,,,,,,,,
第８－２表　産業、性別常用労働者の一人平均月間現金給与額　（事業所規模３０人～９９人）,,,,,,,,,,,
