規模,産業,一般労働者／前月末労働者数(人),一般労働者／本月中の増加労働者数(人),一般労働者／本月中の減少労働者数(人),一般労働者／本月末労働者数(人),パートタイム労働者／前月末労働者数(人),パートタイム労働者／本月中の増加労働者数(人),パートタイム労働者／本月中の減少労働者数(人),パートタイム労働者／本月末労働者数(人)
30人以上,TL 調査産業計,3745772,38141,42362,3741497,635578,25954,15332,646254
30人以上,D 鉱業,2084,19,29,2074,39,0,0,39
30人以上,E 建設業,203956,1120,1208,203867,5721,99,375,5446
30人以上,F 製造業,482523,2595,3753,481355,31636,958,872,31732
30人以上,G 電気・ガス・熱供給・水道業,33565,73,103,33535,3058,0,8,3050
30人以上,H 情報通信業,488152,3383,3944,487593,18420,1247,568,19097
30人以上,I 運輸業,226863,2818,2985,226697,31227,677,1137,30766
30人以上,J 卸売・小売業,643684,5139,6753,642054,184055,6905,3117,187859
30人以上,K 金融・保険業,312796,3273,7082,308986,20080,613,69,20625
30人以上,L 不動産業,59025,921,771,59175,7056,301,304,7053
30人以上,"M 飲食店,宿泊業",75938,1301,1276,75961,96054,5945,2579,99422
30人以上,"N 医療,福祉",202819,1703,3036,201428,57050,1874,939,58043
30人以上,"O 教育,学習支援業",216454,527,732,216249,41314,758,196,41876
30人以上,P 複合サービス事業,32727,115,169,32673,7537,115,172,7480
30人以上,Q サービス業（他に分類されないもの）,765186,15154,10521,769850,132331,6462,4996,133766
,,,,,,,,,
東京都の賃金、労働時間及び雇用の動き（毎月勤労統計調査）平成１９年１１月分,,,,,,,,,
第６－２表　産業、就業形態別労働者数　（事業所規模３０人以上）,,,,,,,,,
