産業,現金給与総額／計(円),現金給与総額／男(円),現金給与総額／女(円),きまって支給する給与／計(円),きまって支給する給与／男(円),きまって支給する給与／女(円),所定内給与(円),所定外給与(円),特別に支払われた給与／計(円),特別に支払われた給与／男(円),特別に支払われた給与／女(円)
TL 調査産業計,278019,347158,184396,268019,333474,179385,256314,11705,10000,13684,5011
D 鉱業,-,-,-,-,-,-,-,-,-,-,-
E 建設業,380601,408046,266402,366995,393206,257930,347670,19325,13606,14840,8472
F 製造業,318031,368678,203229,305843,352917,199139,290677,15166,12188,15761,4090
G 電気・ガス・熱供給・水道業,401055,444120,200855,400626,443599,200855,386729,13897,429,521,0
H 情報通信業,353135,406983,254085,334949,382463,247550,322147,12802,18186,24520,6535
I 運輸業,366143,395547,167152,360402,389130,165987,304989,55413,5741,6417,1165
J 卸売・小売業,262003,328008,168096,254493,318091,164011,246891,7602,7510,9917,4085
K 金融・保険業,345227,489088,225507,339360,478662,223433,314499,24861,5867,10426,2074
L 不動産業,427637,485007,274167,384787,431399,260095,370989,13798,42850,53608,14072
"M 飲食店,宿泊業",140119,192661,96320,136197,184596,95852,129663,6534,3922,8065,468
"N 医療,福祉",237962,386708,193195,230613,371281,188277,225004,5609,7349,15427,4918
"O 教育,学習支援業",292166,345117,253671,268395,308524,239221,266985,1410,23771,36593,14450
P 複合サービス事業,336682,440313,236051,333145,434708,234522,320708,12437,3537,5605,1529
Q サービス業（他に分類されないもの）,292431,341626,217046,283532,332273,208843,271559,11973,8899,9353,8203
,,,,,,,,,,,
東京都の賃金、労働時間及び雇用の動き（毎月勤労統計調査）平成１９年４月分,,,,,,,,,,,
第８－１表　産業、性別常用労働者の一人平均月間現金給与額　（事業所規模５人～２９人）,,,,,,,,,,,
