産業,現金給与総額／計(円),現金給与総額／男(円),現金給与総額／女(円),きまって支給する給与／計(円),きまって支給する給与／男(円),きまって支給する給与／女(円),所定内給与(円),所定外給与(円),特別に支払われた給与／計(円),特別に支払われた給与／男(円),特別に支払われた給与／女(円)
TL 調査産業計,335421,399456,224635,331273,393588,223463,312366,18907,4148,5868,1172
D 鉱業,Ｘ,Ｘ,Ｘ,Ｘ,Ｘ,Ｘ,Ｘ,Ｘ,Ｘ,Ｘ,Ｘ
E 建設業,386563,410939,224507,384944,409108,224297,353454,31490,1619,1831,210
F 製造業,386835,445670,229132,383259,441070,228300,364495,18764,3576,4600,832
G 電気・ガス・熱供給・水道業,442893,460398,321466,442893,460398,321466,393794,49099,0,0,0
H 情報通信業,303732,322420,230107,302908,321387,230107,293637,9271,824,1033,0
I 運輸業,360718,375161,240821,359231,373536,240472,305399,53832,1487,1625,349
J 卸売・小売業,304002,390653,182886,302013,387645,182321,289450,12563,1989,3008,565
K 金融・保険業,473921,604720,312796,471809,602975,310233,449877,21932,2112,1745,2563
L 不動産業,389307,439762,248080,387772,437992,247203,372734,15038,1535,1770,877
"M 飲食店,宿泊業",169587,225317,112941,169587,225317,112941,159072,10515,0,0,0
"N 医療,福祉",276274,403308,248111,275615,403308,247306,268863,6752,659,0,805
"O 教育,学習支援業",420880,479910,347613,417080,476158,343754,393358,23722,3800,3752,3859
P 複合サービス事業,-,-,-,-,-,-,-,-,-,-,-
Q サービス業（他に分類されないもの）,340792,394035,225933,327259,375043,224175,304312,22947,13533,18992,1758
,,,,,,,,,,,
東京都の賃金、労働時間及び雇用の動き（毎月勤労統計調査）平成１９年２月分,,,,,,,,,,,
第８－２表　産業、性別常用労働者の一人平均月間現金給与額　（事業所規模３０人～９９人）,,,,,,,,,,,
