産業,出勤日数／計(日),出勤日数／男(日),出勤日数／女(日),総実労働時間／計(時間),総実労働時間／男(時間),総実労働時間／女(時間),所定内労働時間／計(時間),所定内労働時間／男(時間),所定内労働時間／女(時間),所定外労働時間／計(時間),所定外労働時間／男(時間),所定外労働時間／女(時間)
TL 調査産業計,19.6,20.2,18.5,155.7,167.9,134.6,143,152.1,127.3,12.7,15.8,7.3
D 鉱業,Ｘ,Ｘ,Ｘ,Ｘ,Ｘ,Ｘ,Ｘ,Ｘ,Ｘ,Ｘ,Ｘ,Ｘ
E 建設業,20.8,21.1,18.8,178.5,182.2,154.3,160.2,162.8,143.3,18.3,19.4,11
F 製造業,19,19.3,18.2,154,159.1,141.1,142.4,145.8,133.9,11.6,13.3,7.2
G 電気・ガス・熱供給・水道業,19.5,19.6,19.2,164.4,166,153.3,147.7,148.2,144.7,16.7,17.8,8.6
H 情報通信業,19.6,19.9,18.4,164,168.6,140.8,151.2,154.6,134.2,12.8,14,6.6
I 運輸業,20.5,20.8,18.5,190.5,198.5,140.7,152.8,157.8,121.5,37.7,40.7,19.2
J 卸売・小売業,20,20.6,19,153.8,167.9,132.8,144.4,156.1,127,9.4,11.8,5.8
K 金融・保険業,19.9,20.3,19.5,160.6,165.7,154.4,148.5,153.3,142.7,12.1,12.4,11.7
L 不動産業,20.3,20.7,19.2,161.4,168.9,141.7,149.5,156,132.3,11.9,12.9,9.4
"M 飲食店,宿泊業",16.1,17.3,15,111.8,131.3,92.6,104.7,121.2,88.4,7.1,10.1,4.2
"N 医療,福祉",18.7,16.8,19.1,127.4,120.4,129,124.2,117.8,125.6,3.2,2.6,3.4
"O 教育,学習支援業",19.7,21,18.3,153.1,166.7,136.8,142.4,152.8,129.8,10.7,13.9,7
P 複合サービス事業,-,-,-,-,-,-,-,-,-,-,-,-
Q サービス業（他に分類されないもの）,20.3,20.8,19.1,165.6,173.4,149.2,149.9,155.4,138.2,15.7,18,11
,,,,,,,,,,,,
東京都の賃金、労働時間及び雇用の動き（毎月勤労統計調査）平成１９年１０月分,,,,,,,,,,,,
第９－２表　産業、性別常用労働者の一人平均月間出勤日数及び実労働時間　（事業所規模３０人～９９人）,,,,,,,,,,,,
