産業,現金給与総額／計(円),現金給与総額／男(円),現金給与総額／女(円),きまって支給する給与／計(円),きまって支給する給与／男(円),きまって支給する給与／女(円),所定内給与(円),所定外給与(円),特別に支払われた給与／計(円),特別に支払われた給与／男(円),特別に支払われた給与／女(円)
TL 調査産業計,566353,656965,379907,423087,487167,291234,384422,38665,143266,169798,88673
D 鉱業,-,-,-,-,-,-,-,-,-,-,-
E 建設業,893430,958613,530226,511965,549529,302657,475502,36463,381465,409084,227569
F 製造業,653708,702551,447397,459489,491588,323905,418695,40794,194219,210963,123492
G 電気・ガス・熱供給・水道業,Ｘ,Ｘ,Ｘ,Ｘ,Ｘ,Ｘ,Ｘ,Ｘ,Ｘ,Ｘ,Ｘ
H 情報通信業,589305,609119,496304,456369,478769,351231,388804,67565,132936,130350,145073
I 運輸業,620469,665537,463719,435525,463422,338497,395539,39986,184944,202115,125222
J 卸売・小売業,622023,727841,385730,448097,517258,293659,424937,23160,173926,210583,92071
K 金融・保険業,662178,803576,403647,554902,672054,340703,508293,46609,107276,131522,62944
L 不動産業,704491,905101,320372,379825,467182,212557,357707,22118,324666,437919,107815
"M 飲食店,宿泊業",372340,455392,230518,274685,328000,183643,255107,19578,97655,127392,46875
"N 医療,福祉",459473,539251,428036,378607,467998,343382,346381,32226,80866,71253,84654
"O 教育,学習支援業",479279,525567,428441,341150,396411,280457,319341,21809,138129,129156,147984
P 複合サービス事業,380580,410278,225746,365433,394776,212449,334065,31368,15147,15502,13297
Q サービス業（他に分類されないもの）,418273,524083,281002,328936,404266,231209,294537,34399,89337,119817,49793
,,,,,,,,,,,
東京都の賃金、労働時間及び雇用の動き（毎月勤労統計調査）平成１９年７月分,,,,,,,,,,,
第８－４表　産業、性別常用労働者の一人平均月間現金給与額　（事業所規模５００人以上）,,,,,,,,,,,
