産業,現金給与総額／計(円),現金給与総額／男(円),現金給与総額／女(円),きまって支給する給与／計(円),きまって支給する給与／男(円),きまって支給する給与／女(円),所定内給与(円),所定外給与(円),特別に支払われた給与／計(円),特別に支払われた給与／男(円),特別に支払われた給与／女(円)
TL 調査産業計,344544,407984,233989,336312,398566,227824,317662,18650,8232,9418,6165
D 鉱業,Ｘ,Ｘ,Ｘ,Ｘ,Ｘ,Ｘ,Ｘ,Ｘ,Ｘ,Ｘ,Ｘ
E 建設業,392084,414706,245944,383496,405729,239873,358068,25428,8588,8977,6071
F 製造業,390675,448599,240494,389200,446919,239549,369968,19232,1475,1680,945
G 電気・ガス・熱供給・水道業,457798,474322,345903,457798,474322,345903,400095,57703,0,0,0
H 情報通信業,366230,380475,294119,326564,345617,230120,311563,15001,39666,34858,63999
I 運輸業,330521,352482,192197,323797,344809,191451,267989,55808,6724,7673,746
J 卸売・小売業,324962,414378,194079,319790,407588,191275,306249,13541,5172,6790,2804
K 金融・保険業,451848,559366,318591,451106,558870,317545,428034,23072,742,496,1046
L 不動産業,404064,457629,261058,369829,419381,237537,355308,14521,34235,38248,23521
"M 飲食店,宿泊業",164880,216115,113779,164880,216115,113779,151930,12950,0,0,0
"N 医療,福祉",284322,425658,253802,282048,425658,251037,276496,5552,2274,0,2765
"O 教育,学習支援業",409828,466548,341877,398518,454105,331924,382887,15631,11310,12443,9953
P 複合サービス事業,-,-,-,-,-,-,-,-,-,-,-
Q サービス業（他に分類されないもの）,344439,395115,233237,338565,389548,226691,317638,20927,5874,5567,6546
,,,,,,,,,,,
東京都の賃金、労働時間及び雇用の動き（毎月勤労統計調査）平成１９年９月分,,,,,,,,,,,
第８－２表　産業、性別常用労働者の一人平均月間現金給与額　（事業所規模３０人～９９人）,,,,,,,,,,,
