事業所規模,産業,夏季／1人平均支給額(円),夏季／1人平均支給額／前年比(％),夏季／支給事業所数割合(％),夏季／支給労働者数割合(％),夏季／平均支給月数(か月),夏季／平均支給月数／対前年支給月数差(か月),冬季／1人平均支給額(円),冬季／1人平均支給額／前年比(％),冬季／支給事業所数割合(％),冬季／支給労働者数割合(％),冬季／平均支給月数(か月),冬季／平均支給月数／対前年支給月数差(か月)
30人以上,TL 調査産業計,695547,3.2,88,91.9,1.47,0.02,703076,5.4,89.8,93,1.54,0.04
30人以上,D 鉱業,1352816,-1.7,100,100,2.96,0.25,1288384,-10.3,88.9,69.6,2.99,0.2
30人以上,E 建設業,599996,8.4,89.9,94.2,1.32,0.14,620436,9.9,93.6,95,1.35,0.14
30人以上,F 製造業,876070,2.6,87.8,93.2,1.49,0.03,891779,7.6,90.9,94.8,1.58,0.24
30人以上,G 電気・ガス・熱供給・水道業,1013836,-3,100,100,2.12,-0.1,1052210,1,100,100,2.23,-0.04
30人以上,H 情報通信業,764482,16.7,71.6,80.9,1.67,-0.02,658086,-9,86.4,94.6,1.63,-0.24
30人以上,I 運輸業,497945,-0.9,94.6,97.1,1.32,-0.15,529101,12.6,97.9,95.3,1.38,-0.14
30人以上,J 卸売・小売業,637926,-12.1,90.2,94.6,1.32,-0.08,671809,4.6,88,90.7,1.3,-0.15
30人以上,K 金融・保険業,1171288,9.9,92.3,94.2,2.35,0.27,1034231,4.7,85.4,86.2,2.22,0
30人以上,L 不動産業,677017,-14.4,92,93.9,1.7,-0.01,671360,-21.6,92.1,94.3,1.8,-0.06
30人以上,"M 飲食店,宿泊業",214458,17.4,92.7,95.3,0.44,-0.02,245582,33.4,89.3,93.3,0.51,0.04
30人以上,"N 医療,福祉",545606,18.5,91.3,97,1.78,0.47,642439,22.8,90.9,96.8,1.96,0.34
30人以上,"O 教育,学習支援業",797490,-1.6,85,93.1,2.09,0.17,950859,5.1,92.1,95,2.46,0.56
30人以上,P 複合サービス事業,485034,-10,100,100,1.59,-0.29,977248,69.8,100,100,1.99,0.16
30人以上,Q サービス業（他に分類されないもの）,598557,9.9,86.7,89.1,1.41,-0.07,614667,7.3,89.2,92.4,1.52,0.01
30人以上,"F09,10 食料品・たばこ",550202,15.4,75.1,88.5,1.44,0.46,568936,12.7,99.8,98.7,1.55,0.58
30人以上,F11 繊維,Ｘ,Ｘ,Ｘ,Ｘ,Ｘ,Ｘ,Ｘ,Ｘ,Ｘ,Ｘ,Ｘ,Ｘ
30人以上,F12 衣類,421352,7.8,88.1,81.5,0.99,-0.16,420524,37.3,88.1,81.8,0.9,0.26
30人以上,F13 木材,Ｘ,Ｘ,Ｘ,Ｘ,Ｘ,Ｘ,Ｘ,Ｘ,Ｘ,Ｘ,Ｘ,Ｘ
30人以上,F14 家具,Ｘ,Ｘ,Ｘ,Ｘ,Ｘ,Ｘ,Ｘ,Ｘ,Ｘ,Ｘ,Ｘ,Ｘ
30人以上,F15 パルプ・紙,757684,33.2,100,100,1.66,0.56,866332,30.2,100,100,2.1,1.16
30人以上,F16 印刷,449786,-14.5,71.8,83.9,0.7,0.02,454103,-15.2,71.8,83.5,0.79,0.04
30人以上,F17 化学,1359195,4,92.5,90.9,2.44,0.27,1387930,-1.5,98.6,93.4,2.71,0.32
30人以上,F18 石油・石炭,Ｘ,Ｘ,Ｘ,Ｘ,Ｘ,Ｘ,861512,-8.8,88.9,43.8,2.55,-0.2
30人以上,F19 プラスチック,672205,-57.6,100,100,1.87,-0.83,715984,57.9,100,100,2.04,1.16
30人以上,F20 ゴム,911792,0.8,100,100,2.22,1.44,940921,-0.9,100,100,2.34,1.38
30人以上,F21 なめし革,337979,56,66.1,67.1,1.2,0.53,240784,19.5,98.2,98.1,0.86,0.23
30人以上,F22 窯業・土石,935716,6.8,63.6,88.6,1.86,0.45,918396,6.6,63.6,88,1.82,0.47
30人以上,F23 鉄鋼,2092877,25.7,100,100,3.64,-0.01,1940720,-6.3,100,100,3.38,-0.29
30人以上,F24 非鉄金属,937943,-5.7,100,100,2.17,0.5,1189628,19.2,100,100,2.4,0.72
30人以上,F25 金属製品,332561,-46.6,100,100,0.8,-0.9,408301,-9.3,100,100,0.85,0.03
30人以上,F26 一般機械,1139955,43,100,100,1.97,0.46,1130326,30.6,100,100,1.93,0.18
30人以上,F27 電気機械,994414,8.9,100,100,1.8,0.18,986157,2.5,96.8,96.9,1.84,0.02
30人以上,F28 情報通信機器,1207003,2.9,66.7,94.4,2.81,0.86,1202556,6.4,67.9,95.8,2.27,0.37
30人以上,F29 電子部品・デバイス,944932,10.6,99,97.6,1.39,-0.32,950083,20.1,100,100,1.96,0.51
30人以上,F30 輸送用機器,862535,-19.9,100,100,1.42,-0.97,799029,-15.3,100,100,1.47,-0.46
30人以上,F31 精密機器,855468,12.8,99.5,95.8,1.44,-0.08,893331,17.2,100,100,1.62,0.02
30人以上,F32 その他,860303,47.6,96.1,77.2,2.17,0.58,801891,24.3,96.4,76.1,2.16,0.28
30人以上,J-1 卸売業,889938,-9.2,92.7,94.3,1.81,-0.03,887270,3.5,93.3,93.8,1.64,-0.16
30人以上,J-2 小売業,281013,5.4,87.9,95.1,0.84,-0.04,292437,4.1,82.2,85.9,0.87,-0.15
30人以上,Q80 専門サービス業（他に分類されないもの）,822585,33.1,80,82.5,2.07,0.29,859259,42.4,85,94.2,2.23,0.6
30人以上,Q81 学術・開発研究機関,968632,1.7,100,100,2.04,0.06,973110,-0.3,100,100,2.08,-0.06
30人以上,Q84 娯楽業,478385,17.1,87.2,76.5,1.21,-0.21,705639,80.8,76.6,72.9,2.01,0.62
30人以上,"Q86,87 自動車整備業、機械等修理業",603455,-0.7,100,100,1.23,-0.31,658313,-4.9,100,100,1.26,-0.48
30人以上,Q82 洗濯・理容・美容・浴場業,95124,-29.8,64,78.2,0.43,-0.2,118019,-13.4,97.1,98.8,0.52,0
30人以上,Q89 広告業,916269,38.4,70.3,80.5,1.03,-0.41,642550,-3.1,74.3,81.9,1.17,-0.29
30人以上,QS-1 一括分,504256,-1.9,89.5,92.3,1.39,-0.03,529236,-5.1,91.1,93.2,1.43,-0.07
