産業,現金給与総額／計(円),現金給与総額／男(円),現金給与総額／女(円),きまって支給する給与／計(円),きまって支給する給与／男(円),きまって支給する給与／女(円),所定内給与(円),所定外給与(円),特別に支払われた給与／計(円),特別に支払われた給与／男(円),特別に支払われた給与／女(円)
TL 調査産業計,381717,444465,257301,372350,432709,252671,343845,28505,9367,11756,4630
D 鉱業,482906,537961,300009,479053,533772,297274,455555,23498,3853,4189,2735
E 建設業,396204,417289,238428,394757,415889,236630,365460,29297,1447,1400,1798
F 製造業,387340,438994,236475,382159,433129,233292,355805,26354,5181,5865,3183
G 電気・ガス・熱供給・水道業,500934,532105,318749,500934,532105,318749,437526,63408,0,0,0
H 情報通信業,402153,437047,297505,386777,420582,285395,347017,39760,15376,16465,12110
I 運輸業,365191,381835,220066,345242,360178,215006,294815,50427,19949,21657,5060
J 卸売・小売業,354217,449718,204231,349010,442602,202022,329818,19192,5207,7116,2209
K 金融・保険業,472012,618366,299761,470774,616458,299312,448445,22329,1238,1908,449
L 不動産業,391573,448590,258264,363419,417058,238006,335717,27702,28154,31532,20258
"M 飲食店,宿泊業",388008,441156,274578,388008,441156,274578,361059,26949,0,0,0
"N 医療,福祉",324908,429229,283540,324406,428758,283026,302485,21921,502,471,514
"O 教育,学習支援業",479310,568543,347155,426353,499552,317944,414080,12273,52957,68991,29211
P 複合サービス事業,334874,380723,157334,331055,376215,156181,307745,23310,3819,4508,1153
Q サービス業（他に分類されないもの）,359675,427587,256852,354561,420679,254454,327247,27314,5114,6908,2398
,,,,,,,,,,,
東京都の賃金、労働時間及び雇用の動き（毎月勤労統計調査）平成１９年８月分,,,,,,,,,,,
第８－３表　産業、性別常用労働者の一人平均月間現金給与額　（事業所規模１００～４９９人）,,,,,,,,,,,
