規模,産業,前月末労働者数／計(人),前月末労働者数／男(人),前月末労働者数／女(人),本月中の増加労働者数／計(人),本月中の増加労働者数／男(人),本月中の増加労働者数／女(人),本月中の減少労働者数／計(人),本月中の減少労働者数／男(人),本月中の減少労働者数／女(人),本月末労働者数／計(人),本月末労働者数／男(人),本月末労働者数／女(人),パートタイム労働者比率／計(％),パートタイム労働者比率／男(％),パートタイム労働者比率／女(％)
５人以上,TL 調査産業計,6379475,4020959,2358516,411988,232554,179434,266581,146255,120326,6524882,4107258,2417624,19.6,10.2,35.4
５人以上,D 鉱業,2136,1748,388,89,66,23,66,64,2,2159,1750,409,1.8,0.1,9
５人以上,E 建設業,343121,290216,52905,16828,13402,3426,10208,9026,1182,349741,294592,55149,3.9,1.6,15.9
５人以上,F 製造業,717687,534245,183442,32032,23641,8391,16740,12380,4360,732979,545506,187473,8.3,2.6,24.7
５人以上,G 電気・ガス・熱供給・水道業,39266,32229,7037,5542,4758,784,4766,4091,675,40042,32896,7146,8.1,6.3,16.3
５人以上,H 情報通信業,585570,450766,134804,43160,32814,10346,11701,7795,3906,617029,475785,141244,5.2,2.1,15.6
５人以上,I 運輸業,318120,279548,38572,14313,11415,2898,8496,7300,1196,323937,283663,40274,11.9,8.8,33.2
５人以上,J 卸売・小売業,1408183,843452,564731,64300,35315,28985,47436,23906,23530,1425047,854861,570186,27.1,13.4,47.7
５人以上,K 金融・保険業,378501,215776,162725,43504,21895,21609,15035,9879,5156,406970,227792,179178,7,1.9,13.6
５人以上,L 不動産業,114306,82037,32269,7928,5205,2723,5606,3402,2204,116628,83840,32788,10.4,6.2,21
５人以上,"M 飲食店,宿泊業",458302,225073,233229,31525,15725,15800,30514,13389,17125,459313,227409,231904,67,51.3,82.4
５人以上,"N 医療,福祉",402793,93721,309072,32969,8609,24360,31094,7675,23419,404668,94655,310013,29.1,19.9,31.9
５人以上,"O 教育,学習支援業",331517,174667,156850,41413,17094,24319,27174,12616,14558,345756,179145,166611,17,12.5,21.8
５人以上,P 複合サービス事業,57604,41730,15874,3186,2230,956,3459,2427,1032,57331,41533,15798,29.2,20.9,51.1
５人以上,Q サービス業（他に分類されないもの）,1222369,755751,466618,75199,40385,34814,54286,32305,21981,1243282,763831,479451,16.2,9.7,26.5
５人以上,"F09,10 食料品・たばこ",73493,42253,31240,3812,2200,1612,1763,1027,736,75542,43426,32116,29.6,10.6,55.4
５人以上,F11 繊維,2307,1284,1023,14,12,2,39,30,9,2282,1266,1016,7.7,0,17.3
５人以上,F12 衣服,23725,12273,11452,827,456,371,201,130,71,24351,12599,11752,9,5.1,13.2
５人以上,F13 木材,2059,1562,497,31,28,3,46,46,0,2044,1544,500,5.2,0.8,18.8
５人以上,F14 家具,7015,5631,1384,2,1,1,0,0,0,7017,5632,1385,12.1,8.3,27.5
５人以上,F15 パルプ・紙,17425,13056,4369,772,427,345,358,323,35,17839,13160,4679,12.2,2.7,39.1
５人以上,F16 印刷,100543,74509,26034,2871,1977,894,3771,2528,1243,99643,73958,25685,5.7,3.6,12
５人以上,F17 化学,66706,47359,19347,4540,3134,1406,1573,1220,353,69673,49273,20400,1.8,0.4,5.1
５人以上,F18 石油・石炭,Ｘ,Ｘ,Ｘ,Ｘ,Ｘ,Ｘ,Ｘ,Ｘ,Ｘ,Ｘ,X,Ｘ,Ｘ,Ｘ,Ｘ
５人以上,F19 プラスチック,15230,9331,5899,677,415,262,394,77,317,15513,9669,5844,21.7,4.6,50
５人以上,F20 ゴム,8164,6761,1403,523,466,57,221,149,72,8466,7078,1388,2.3,1.5,6.1
５人以上,F21 なめし革,9565,6491,3074,236,144,92,146,80,66,9655,6555,3100,14.8,2.8,40.2
５人以上,F22 窯業・土石,12970,10627,2343,287,165,122,191,111,80,13066,10681,2385,2.5,3,0.2
５人以上,F23 鉄鋼,6623,5259,1364,379,321,58,142,142,0,6860,5438,1422,2.3,2.1,3
５人以上,F24 非鉄金属,10776,7674,3102,646,486,160,241,192,49,11181,7968,3213,7.5,0,26.2
５人以上,F25 金属製品,49270,36417,12853,889,789,100,640,477,163,49519,36729,12790,6.2,2.2,17.7
５人以上,F26 一般機械,60667,49410,11257,2231,1859,372,1307,1240,67,61591,50029,11562,6.9,2.3,26.6
５人以上,F27 電気機器,57825,47286,10539,3076,2577,499,1303,1197,106,59598,48666,10932,5.8,0.7,28.2
５人以上,F28 情報通信機器,55942,47000,8942,4278,3558,720,1214,1055,159,59006,49503,9503,1.2,0.1,6.9
５人以上,F29 電子部品・デバイス,37815,29067,8748,2262,1833,429,1499,1204,295,38578,29696,8882,7.3,0.8,29
