規模,産業,前月末労働者数／計(人),前月末労働者数／男(人),前月末労働者数／女(人),本月中の増加労働者数／計(人),本月中の増加労働者数／男(人),本月中の増加労働者数／女(人),本月中の減少労働者数／計(人),本月中の減少労働者数／男(人),本月中の減少労働者数／女(人),本月末労働者数／計(人),本月末労働者数／男(人),本月末労働者数／女(人),パートタイム労働者比率／計(％),パートタイム労働者比率／男(％),パートタイム労働者比率／女(％)
30人以上,TL 調査産業計,4387751,2879093,1508658,56066,28892,27174,61348,31426,29922,4382469,2876559,1505910,14.7,7,29.3
30人以上,D 鉱業,2113,1733,380,12,12,0,49,37,12,2076,1708,368,1.9,0.1,10.1
30人以上,E 建設業,209313,182241,27072,1102,976,126,1406,1109,297,209009,182108,26901,2.6,1.2,11.6
30人以上,F 製造業,513087,390924,122163,4504,2382,2122,3678,2382,1296,513913,390924,122989,6.4,1.7,21.2
30人以上,G 電気・ガス・熱供給・水道業,36585,29989,6596,88,71,17,129,88,41,36544,29972,6572,8.3,6.7,15.5
30人以上,H 情報通信業,506690,403740,102950,4250,2835,1415,8179,5229,2950,502761,401346,101415,4,1.4,14.2
30人以上,I 運輸業,257463,223958,33505,2516,1980,536,2412,1972,440,257567,223966,33601,12.3,9.6,30.1
30人以上,J 卸売・小売業,829913,511463,318450,9868,5096,4772,10630,4731,5899,829151,511828,317323,22.7,8,46.6
30人以上,K 金融・保険業,329611,193071,136540,6043,4007,2036,4327,2276,2051,331327,194802,136525,6,2,11.8
30人以上,L 不動産業,66228,46701,19527,1500,1060,440,819,578,241,66909,47183,19726,12.2,6.1,26.7
30人以上,"M 飲食店,宿泊業",175383,95659,79724,5207,2339,2868,6703,3596,3107,173887,94402,79485,56.1,41,74
30人以上,"N 医療,福祉",259471,61037,198434,3308,853,2455,3771,1171,2600,259008,60719,198289,22.1,17.5,23.4
30人以上,"O 教育,学習支援業",258125,142818,115307,1279,275,1004,1579,718,861,257825,142375,115450,15.1,10.7,20.5
30人以上,P 複合サービス事業,40153,33310,6843,223,209,14,412,111,301,39964,33408,6556,17.7,12.4,44.7
30人以上,Q サービス業（他に分類されないもの）,903616,562449,341167,16166,6797,9369,17254,7428,9826,902528,561818,340710,14.7,8.5,24.9
30人以上,"F09,10 食料品・たばこ",59677,34885,24792,2307,649,1658,1166,517,649,60818,35017,25801,29.8,10.3,56.2
30人以上,F11 繊維,Ｘ,Ｘ,Ｘ,Ｘ,Ｘ,Ｘ,Ｘ,Ｘ,Ｘ,Ｘ,Ｘ,Ｘ,Ｘ,Ｘ,Ｘ
30人以上,F12 衣服,7848,2872,4976,60,56,4,102,69,33,7806,2859,4947,14.1,7.5,17.9
30人以上,F13 木材,Ｘ,Ｘ,Ｘ,Ｘ,Ｘ,Ｘ,Ｘ,Ｘ,Ｘ,Ｘ,Ｘ,Ｘ,Ｘ,Ｘ,Ｘ
30人以上,F14 家具,Ｘ,Ｘ,Ｘ,Ｘ,Ｘ,Ｘ,Ｘ,Ｘ,Ｘ,Ｘ,Ｘ,Ｘ,Ｘ,Ｘ,Ｘ
30人以上,F15 パルプ・紙,9328,7165,2163,8,6,2,63,55,8,9273,7116,2157,8.3,0.4,34.7
30人以上,F16 印刷,60619,48006,12613,274,273,1,377,118,259,60516,48161,12355,3.2,1.9,8.3
30人以上,F17 化学,59965,41843,18122,422,258,164,278,202,76,60109,41899,18210,1.7,0.3,4.9
30人以上,F18 石油・石炭,Ｘ,Ｘ,Ｘ,Ｘ,Ｘ,Ｘ,Ｘ,Ｘ,Ｘ,Ｘ,Ｘ,Ｘ,Ｘ,Ｘ,Ｘ
30人以上,F19 プラスチック,6137,4476,1661,0,0,0,15,15,0,6122,4461,1661,7.3,3.5,17.6
30人以上,F20 ゴム,5104,4503,601,46,37,9,40,34,6,5110,4506,604,0.4,0,3.3
30人以上,F21 なめし革,3996,2365,1631,100,74,26,38,35,3,4058,2404,1654,18.5,7.7,34.3
30人以上,F22 窯業・土石,7923,6409,1514,61,49,12,40,28,12,7944,6430,1514,0.1,0,0.3
30人以上,F23 鉄鋼,4106,3222,884,9,7,2,120,90,30,3995,3139,856,0.1,0.1,0.2
30人以上,F24 非鉄金属,8790,6677,2113,78,56,22,79,76,3,8789,6657,2132,3.2,0,13.3
30人以上,F25 金属製品,28013,20678,7335,8,7,1,108,99,9,27913,20586,7327,0.7,0,2.6
30人以上,F26 一般機械,39921,32622,7299,75,69,6,253,245,8,39743,32446,7297,7.3,2.1,30.3
30人以上,F27 電気機器,49166,41467,7699,220,183,37,322,260,62,49064,41390,7674,3,0.8,14.9
30人以上,F28 情報通信機器,52823,44268,8555,362,315,47,268,230,38,52917,44353,8564,0.2,0,0.8
30人以上,F29 電子部品・デバイス,31437,24413,7024,58,33,25,108,78,30,31387,24368,7019,4.7,0,21.1
30人以上,F30 輸送用機器,27423,24882,2541,171,158,13,101,86,15,27493,24954,2539,0,0,0.4
30人以上,F31 精密機器,25294,21419,3875,75,69,6,115,106,9,25254,21382,3872,3.2,1,15.3
30人以上,F32 その他,19332,13386,5946,153,68,85,74,28,46,19411,13426,5985,7.2,1.5,19.8
30人以上,J-1 卸売業,507376,385692,121684,2640,2125,515,3715,2554,1161,506301,385263,121038,5.7,2.3,16.6
30人以上,J-2 小売業,322537,125771,196766,7228,2971,4257,6915,2177,4738,322850,126565,196285,49.5,25.4,65
30人以上,Q80 専門サービス業（他に分類されないもの）,151820,118540,33280,2288,1708,580,1752,1331,421,152356,118917,33439,4.3,2.8,9.4
30人以上,Q81 学術・開発研究機関,36707,29485,7222,144,100,44,248,224,24,36603,29361,7242,5.8,1.3,23.8
30人以上,Q84 娯楽業,47003,28289,18714,554,81,473,1066,562,504,46491,27808,18683,33.2,20.4,52.1
30人以上,"Q86,87 自動車整備業、機械等修理業",26957,23888,3069,55,51,4,279,271,8,26733,23668,3065,4.6,4.5,5.3
30人以上,Q82 洗濯・理容・美容・浴場業,18949,7816,11133,1255,346,909,355,27,328,19849,8135,11714,48.9,31.8,60.8
30人以上,Q89 広告業,40365,25818,14547,236,99,137,331,244,87,40270,25673,14597,8,0.9,20.5
30人以上,QS-1 一括分,581815,328613,253202,11634,4412,7222,13223,4769,8454,580226,328256,251970,16.3,10.6,23.8
,,,,,,,,,,,,,,,,
東京都の賃金、労働時間及び雇用の動き（毎月勤労統計調査）平成１９年１２月分,,,,,,,,,,,,,,,,
第３－２表　産業、性別常用労働者及びパートタイム労働者比率　（事業所規模３０人以上）,,,,,,,,,,,,,,,,
