事業所規模,産業,和暦年,西暦年,年平均・月,一般労働者／現金給与総額(円),一般労働者／きまって支給する給与(円),一般労働者／所定内給与(円),一般労働者／超過労働給与(円),一般労働者／特別に支払われた給与(円),パートタイム労働者／現金給与総額(円),パートタイム労働者／きまって支給する給与(円),パートタイム労働者／所定内給与(円),パートタイム労働者／超過労働給与(円),パートタイム労働者／特別に支払われた給与(円)
30人以上,TL 調査産業計,平成17,2005,年平均,556683,427462,394492,32970,129221,115669,111060,105643,5417,4609
30人以上,TL 調査産業計,平成18,2006,年平均,561232,424531,390813,33718,136701,117843,113939,107819,6120,3904
30人以上,TL 調査産業計,平成19,2007,年平均,551078,417777,385730,32047,133301,121193,116966,111118,5848,4227
30人以上,TL 調査産業計,平成19,2007,1月,426312,414345,383398,30947,11967,112824,111981,106166,5815,843
30人以上,TL 調査産業計,平成19,2007,2月,428558,412706,381339,31367,15852,113087,112734,107368,5366,353
30人以上,TL 調査産業計,平成19,2007,3月,462602,418465,385336,33129,44137,117668,115332,109572,5760,2336
30人以上,TL 調査産業計,平成19,2007,4月,448238,425342,390768,34574,22896,119737,118111,111925,6186,1626
30人以上,TL 調査産業計,平成19,2007,5月,441764,414026,381580,32446,27738,117095,115964,110168,5796,1131
30人以上,TL 調査産業計,平成19,2007,6月,972874,416053,384494,31559,556821,129869,119267,113948,5319,10602
30人以上,TL 調査産業計,平成19,2007,7月,569272,416293,384407,31886,152979,129839,119010,113090,5920,10829
30人以上,TL 調査産業計,平成19,2007,8月,429687,417268,385801,31467,12419,119508,118813,113010,5803,695
30人以上,TL 調査産業計,平成19,2007,9月,428797,417373,387300,30073,11424,117256,116811,110642,6169,445
30人以上,TL 調査産業計,平成19,2007,10月,431123,420390,389198,31192,10733,118767,117727,111808,5919,1040
30人以上,TL 調査産業計,平成19,2007,11月,477690,420198,387069,33129,57492,122419,120029,114402,5627,2390
30人以上,TL 調査産業計,平成19,2007,12月,1086691,420837,388021,32816,665854,135857,117668,111194,6474,18189
30人以上,D 鉱業,平成17,2005,年平均,687331,458006,448988,9018,229325,55619,49905,49905,0,5714
30人以上,D 鉱業,平成18,2006,年平均,703499,453691,445099,8592,249808,40074,35852,35852,0,4222
30人以上,D 鉱業,平成19,2007,年平均,678091,473173,440651,32522,204918,102823,99062,98989,73,3761
30人以上,D 鉱業,平成19,2007,1月,488480,479250,447361,31889,9230,106477,106477,106386,91,0
30人以上,D 鉱業,平成19,2007,2月,476983,473662,439995,33667,3321,91114,91114,91114,0,0
30人以上,D 鉱業,平成19,2007,3月,501689,472919,441345,31574,28770,114049,103610,103610,0,10439
30人以上,D 鉱業,平成19,2007,4月,459156,435116,398523,36593,24040,98375,95625,95625,0,2750
30人以上,D 鉱業,平成19,2007,5月,490176,483772,447194,36578,6404,101231,101231,101128,103,0
30人以上,D 鉱業,平成19,2007,6月,1861598,473410,443319,30091,1388188,114385,99718,99231,487,14667
30人以上,D 鉱業,平成19,2007,7月,471627,467164,436048,31116,4463,104077,104077,104077,0,0
30人以上,D 鉱業,平成19,2007,8月,471993,469244,437731,31513,2749,95538,95538,95538,0,0
30人以上,D 鉱業,平成19,2007,9月,510553,479272,449849,29423,31281,96974,94410,94256,154,2564
30人以上,D 鉱業,平成19,2007,10月,504836,481826,452866,28960,23010,103026,100205,100205,0,2821
30人以上,D 鉱業,平成19,2007,11月,487565,483840,450610,33230,3725,99231,99231,99180,51,0
30人以上,D 鉱業,平成19,2007,12月,1404914,478901,443366,35535,926013,109974,97436,97436,0,12538
30人以上,E 建設業,平成17,2005,年平均,537736,441594,414844,26750,96142,168724,168289,162508,5781,435
30人以上,E 建設業,平成18,2006,年平均,524033,428204,400365,27839,95829,92598,91974,89436,2538,624
30人以上,E 建設業,平成19,2007,年平均,528329,422265,390457,31808,106064,177645,174769,169698,5071,2876
30人以上,E 建設業,平成19,2007,1月,423873,421298,389911,31387,2575,158706,158677,156708,1969,29
30人以上,E 建設業,平成19,2007,2月,425657,423455,390918,32537,2202,158281,158218,153544,4674,63
30人以上,E 建設業,平成19,2007,3月,451665,433120,397400,35720,18545,189292,185595,181637,3958,3697
30人以上,E 建設業,平成19,2007,4月,450175,432846,398217,34629,17329,183625,178825,173682,5143,4800
30人以上,E 建設業,平成19,2007,5月,450667,418354,389515,28839,32313,169943,169552,164476,5076,391
30人以上,E 建設業,平成19,2007,6月,809683,420667,390861,29806,389016,182344,179957,174858,5099,2387
30人以上,E 建設業,平成19,2007,7月,600162,414940,386009,28931,185222,178709,174417,168319,6098,4292
30人以上,E 建設業,平成19,2007,8月,423040,420676,389432,31244,2364,163518,163417,156913,6504,101
30人以上,E 建設業,平成19,2007,9月,425564,419966,390304,29662,5598,173704,169557,164935,4622,4147
30人以上,E 建設業,平成19,2007,10月,425745,420344,386264,34080,5401,192772,185557,179702,5855,7215
30人以上,E 建設業,平成19,2007,11月,477708,419205,386345,32860,58503,194357,194011,187998,6013,346
30人以上,E 建設業,平成19,2007,12月,968325,422747,390551,32196,545578,188340,181015,174998,6017,7325
30人以上,F 製造業,平成17,2005,年平均,565823,424458,389222,35236,141365,158851,151004,142304,8700,7847
30人以上,F 製造業,平成18,2006,年平均,573731,423903,388322,35581,149828,163804,156273,145812,10461,7531
30人以上,F 製造業,平成19,2007,年平均,583913,433557,402545,31012,150356,134171,125358,118633,6725,8813
30人以上,F 製造業,平成19,2007,1月,440425,433359,403149,30210,7066,118592,118273,110910,7363,319
30人以上,F 製造業,平成19,2007,2月,437104,433062,401929,31133,4042,124256,124023,116029,7994,233
30人以上,F 製造業,平成19,2007,3月,445859,435391,402634,32757,10468,123099,122610,114307,8303,489
30人以上,F 製造業,平成19,2007,4月,464153,438853,406307,32546,25300,127650,121401,114835,6566,6249
30人以上,F 製造業,平成19,2007,5月,444839,427644,397383,30261,17195,122153,121718,115577,6141,435
30人以上,F 製造業,平成19,2007,6月,1102194,433636,403042,30594,668558,151522,127364,121692,5672,24158
30人以上,F 製造業,平成19,2007,7月,615232,430058,398550,31508,185174,148903,126283,120213,6070,22620
30人以上,F 製造業,平成19,2007,8月,437540,431791,401266,30525,5749,127517,127208,120752,6456,309
30人以上,F 製造業,平成19,2007,9月,437699,432465,403311,29154,5234,127276,127090,120568,6522,186
30人以上,F 製造業,平成19,2007,10月,438343,433905,403543,30362,4438,128025,127704,121406,6298,321
30人以上,F 製造業,平成19,2007,11月,473244,436495,404399,32096,36749,133880,133604,126954,6650,276
30人以上,F 製造業,平成19,2007,12月,1264459,436141,405105,31036,828318,175292,126710,119913,6797,48582
30人以上,G 電気・ガス・熱供給・水道業,平成17,2005,年平均,749096,544426,482521,61905,204670,160354,143254,141726,1528,17100
30人以上,G 電気・ガス・熱供給・水道業,平成18,2006,年平均,742432,542088,481564,60524,200344,148811,134406,132245,2161,14405
30人以上,G 電気・ガス・熱供給・水道業,平成19,2007,年平均,701497,507859,456224,51635,193638,245073,200557,190890,9667,44516
30人以上,G 電気・ガス・熱供給・水道業,平成19,2007,1月,527164,509844,459687,50157,17320,197499,197499,187902,9597,0
30人以上,G 電気・ガス・熱供給・水道業,平成19,2007,2月,509549,509549,456165,53384,0,201258,201258,191394,9864,0
30人以上,G 電気・ガス・熱供給・水道業,平成19,2007,3月,538306,519547,461422,58125,18759,203561,203209,192195,11014,352
30人以上,G 電気・ガス・熱供給・水道業,平成19,2007,4月,537716,514054,459704,54350,23662,217399,200430,190810,9620,16969
30人以上,G 電気・ガス・熱供給・水道業,平成19,2007,5月,502542,502440,457707,44733,102,202843,202843,193415,9428,0
30人以上,G 電気・ガス・熱供給・水道業,平成19,2007,6月,1595526,500922,453116,47806,1094604,435965,196467,186855,9612,239498
30人以上,G 電気・ガス・熱供給・水道業,平成19,2007,7月,506220,506198,450436,55762,22,202082,202082,192076,10006,0
