規模,産業,１人平均支給額（円）,対前年比（％）,支給事業所数割合（％）,支給労働者数割合（％）,平均支給月数（か月）,対前年支給月数差（か月）
30人以上,TL 調査産業計,695547,3.2,88,91.9,1.47,0.02
30人以上,D 鉱業,1352816,-1.7,100,100,2.96,0.25
30人以上,E 建設業,599996,8.4,89.9,94.2,1.32,0.14
30人以上,F 製造業,876070,2.6,87.8,93.2,1.49,0.03
30人以上,G 電気・ガス・熱供給・水道業,1013836,-3,100,100,2.12,-0.1
30人以上,H 情報通信業,764482,16.7,71.6,80.9,1.67,-0.02
30人以上,I 運輸業,497945,-0.9,94.6,97.1,1.32,-0.15
30人以上,J 卸売・小売業,637926,-12.1,90.2,94.6,1.32,-0.08
30人以上,K 金融・保険業,1171288,9.9,92.3,94.2,2.35,0.27
30人以上,L 不動産業,677017,-14.4,92,93.9,1.7,-0.01
30人以上,"M 飲食店,宿泊業",214458,17.4,92.7,95.3,0.44,-0.02
30人以上,"N 医療,福祉",545606,18.5,91.3,97,1.78,0.47
30人以上,"O 教育,学習支援業",797490,-1.6,85,93.1,2.09,0.17
30人以上,P 複合サービス事業,485034,-10,100,100,1.59,-0.29
30人以上,Q サービス業（他に分類されないもの）,598557,9.9,86.7,89.1,1.41,-0.07
30人以上,"F09,10 食料品・たばこ",550202,15.4,75.1,88.5,1.44,0.46
30人以上,F11 繊維,Ｘ,Ｘ,Ｘ,Ｘ,Ｘ,Ｘ
30人以上,F12 衣服,421352,7.8,88.1,81.5,0.99,-0.16
30人以上,F13 木材,Ｘ,Ｘ,Ｘ,Ｘ,Ｘ,Ｘ
30人以上,F14 家具,Ｘ,Ｘ,Ｘ,Ｘ,Ｘ,Ｘ
30人以上,F15 パルプ・紙,757684,33.2,100,100,1.66,0.56
30人以上,F16 印刷,449786,-14.5,71.8,83.9,0.7,0.02
30人以上,F17 化学,1359195,4,92.5,90.9,2.44,0.27
30人以上,F18 石油・石炭,Ｘ,Ｘ,Ｘ,Ｘ,Ｘ,Ｘ
30人以上,F19 プラスチック,672205,-57.6,100,100,1.87,-0.83
30人以上,F20 ゴム,911792,0.8,100,100,2.22,1.44
30人以上,F21 なめし革,337979,56,66.1,67.1,1.2,0.53
30人以上,F22 窯業・土石,935716,6.8,63.6,88.6,1.86,0.45
30人以上,F23 鉄鋼,2092877,25.7,100,100,3.64,-0.01
30人以上,F24 非鉄金属,937943,-5.7,100,100,2.17,0.5
30人以上,F25 金属製品,332561,-46.6,100,100,0.8,-0.9
30人以上,F26 一般機械,1139955,43,100,100,1.97,0.46
30人以上,F27 電気機器,994414,8.9,100,100,1.8,0.18
30人以上,F28 情報通信機器,1207003,2.9,66.7,94.4,2.81,0.86
30人以上,F29 電子部品・デバイス,944932,10.6,99,97.6,1.39,-0.32
30人以上,F30 輸送用機器,862535,-19.9,100,100,1.42,-0.97
30人以上,F31 精密機器,855468,12.8,99.5,95.8,1.44,-0.08
30人以上,F32 その他,860303,47.6,96.1,77.2,2.17,0.58
30人以上,J-1 卸売業,889938,-9.2,92.7,94.3,1.81,-0.03
30人以上,J-2 小売業,281013,5.4,87.9,95.1,0.84,-0.04
30人以上,Q80 専門サービス業（他に分類されないもの）,822585,33.1,80,82.5,2.07,0.29
30人以上,Q81 学術・開発研究機関,968632,1.7,100,100,2.04,0.06
30人以上,Q84 娯楽業,478385,17.1,87.2,76.5,1.21,-0.21
30人以上,"Q86,87 自動車整備業、機械等修理業",603455,-0.7,100,100,1.23,-0.31
30人以上,Q82 洗濯・理容・美容・浴場業,95124,-29.8,64,78.2,0.43,-0.2
30人以上,Q89 広告業,916269,38.4,70.3,80.5,1.03,-0.41
30人以上,QS-1 一括分,504256,-1.9,89.5,92.3,1.39,-0.03
30～99人,TL 調査産業計,493935,4.8,86.5,87.9,1.37,0.01
30～99人,D 鉱業,Ｘ,Ｘ,Ｘ,Ｘ,Ｘ,Ｘ
30～99人,E 建設業,458516,15,87.5,89.6,1.24,0.16
30～99人,F 製造業,523164,7.1,85.8,87.9,1.29,0.04
30～99人,G 電気・ガス・熱供給・水道業,759741,-18.1,100,100,1.88,-0.27
30～99人,H 情報通信業,531213,29.8,66.6,69.5,1.5,-0.02
30～99人,I 運輸業,391794,-27.5,93.7,95.4,1.3,-0.3
30～99人,J 卸売・小売業,385024,-11.8,88.6,91.2,1.2,-0.11
30～99人,K 金融・保険業,897609,12.6,93.3,91.8,2.26,0.2
30～99人,L 不動産業,661332,13.4,91,90.2,1.73,0.13
30～99人,"M 飲食店,宿泊業",87050,9.2,92.3,95.2,0.4,-0.02
30～99人,"N 医療,福祉",546246,47.8,90,92.4,1.79,0.56
30～99人,"O 教育,学習支援業",834771,-4.7,83.4,86.6,2.1,0.18
30～99人,P 複合サービス事業,-,-,-,-,-,-
30～99人,Q サービス業（他に分類されないもの）,506637,16.1,84.8,85,1.34,-0.1
30～99人,"F09,10 食料品・たばこ",298107,458.3,66.7,79.7,1.25,0.89
30～99人,F11 繊維,-,-,-,-,-,-
30～99人,F12 衣服,Ｘ,Ｘ,Ｘ,Ｘ,Ｘ,Ｘ
30～99人,F13 木材,Ｘ,Ｘ,Ｘ,Ｘ,Ｘ,Ｘ
30～99人,F14 家具,Ｘ,Ｘ,Ｘ,Ｘ,Ｘ,Ｘ
30～99人,F15 パルプ・紙,Ｘ,Ｘ,Ｘ,Ｘ,Ｘ,Ｘ
30～99人,F16 印刷,170523,-25.3,66.7,66.7,0.44,-0.06
30～99人,F17 化学,698673,7.9,89.4,89.1,1.84,0.06
30～99人,F18 石油・石炭,Ｘ,Ｘ,Ｘ,Ｘ,Ｘ,Ｘ
30～99人,F19 プラスチック,672205,-54.2,100,100,1.87,-0.37
30～99人,F20 ゴム,-,-,-,-,-,-
30～99人,F21 なめし革,332031,72.4,66,63.6,1.2,0.55
30～99人,F22 窯業・土石,Ｘ,Ｘ,Ｘ,Ｘ,Ｘ,Ｘ
30～99人,F23 鉄鋼,Ｘ,-,Ｘ,Ｘ,Ｘ,Ｘ
30～99人,F24 非鉄金属,744206,98.8,100,100,2.28,0.86
30～99人,F25 金属製品,253631,-63.1,100,100,0.71,-1.08
30～99人,F26 一般機械,Ｘ,Ｘ,Ｘ,Ｘ,Ｘ,Ｘ
30～99人,F27 電気機器,640041,66,100,100,1.73,0.24
30～99人,F28 情報通信機器,1449392,82,50,61.6,3.22,1.56
30～99人,F29 電子部品・デバイス,Ｘ,Ｘ,Ｘ,Ｘ,Ｘ,Ｘ
30～99人,F30 輸送用機器,Ｘ,Ｘ,Ｘ,Ｘ,Ｘ,Ｘ
30～99人,F31 精密機器,551212,72.4,100,100,1.22,0
30～99人,F32 その他,911504,66.7,100,100,2.19,0.65
30～99人,J-1 卸売業,618250,-8.2,91.3,89.7,1.74,-0.01
30～99人,J-2 小売業,212760,39.8,86.7,92.4,0.8,-0.05
30～99人,Q80 専門サービス業（他に分類されないもの）,891467,81.8,80,86.4,2.21,0.45
30～99人,Q81 学術・開発研究機関,724718,-3.8,100,100,2.04,0.2
30～99人,Q84 娯楽業,490257,31.1,87.5,73.9,1.2,-0.23
30～99人,"Q86,87 自動車整備業、機械等修理業",334121,-22.6,100,100,1.07,-0.4
30～99人,Q82 洗濯・理容・美容・浴場業,59794,-48.5,59.9,70.6,0.39,-0.15
30～99人,Q89 広告業,236048,-33.4,66.5,70,0.76,-0.58
30～99人,QS-1 一括分,447934,-4.3,87.1,87.2,1.32,-0.06
100～499人,TL 調査産業計,672937,8.5,93.7,93.5,1.74,0.09
100～499人,D 鉱業,1510259,7.7,100,100,3.42,0.54
100～499人,E 建設業,574341,4.9,100,100,1.54,0
100～499人,F 製造業,845712,8.9,96.7,97.1,2.09,0.28
100～499人,G 電気・ガス・熱供給・水道業,1029967,11.4,100,100,2.26,0.01
100～499人,H 情報通信業,702986,10,80,77.8,1.9,0.05
100～499人,I 運輸業,473438,24.1,96.5,98.1,1.33,0.17
100～499人,J 卸売・小売業,658276,8,96.5,96.4,1.7,0.13
100～499人,K 金融・保険業,1077014,46.1,88.2,92.7,2.54,0.61
100～499人,L 不動産業,567145,-35.2,94.8,95.7,1.57,-0.47
100～499人,"M 飲食店,宿泊業",573306,19.6,100,100,0.92,-0.17
100～499人,"N 医療,福祉",491650,-0.4,100,100,1.69,0.09
100～499人,"O 教育,学習支援業",907716,3.2,100,100,2.06,0.13
100～499人,P 複合サービス事業,467092,-12.4,100,100,1.59,-0.32
100～499人,Q サービス業（他に分類されないもの）,569556,-1.1,93.5,92.6,1.58,0.01
100～499人,"F09,10 食料品・たばこ",484638,2.1,95.2,92.5,1.7,0.04
100～499人,F11 繊維,-,-,-,-,-,-
100～499人,F12 衣服,Ｘ,Ｘ,Ｘ,Ｘ,Ｘ,Ｘ
100～499人,F13 木材,Ｘ,Ｘ,Ｘ,Ｘ,Ｘ,Ｘ
100～499人,F14 家具,Ｘ,Ｘ,Ｘ,Ｘ,Ｘ,Ｘ
100～499人,F15 パルプ・紙,967201,8.5,100,100,2.37,0.03
100～499人,F16 印刷,483079,-1.6,100,100,1.55,-0.11
100～499人,F17 化学,1561082,4.5,100,100,3.25,0.22
100～499人,F18 石油・石炭,-,-,-,-,-,-
100～499人,F19 プラスチック,-,-,-,-,-,-
100～499人,F20 ゴム,Ｘ,Ｘ,Ｘ,Ｘ,Ｘ,Ｘ
100～499人,F21 なめし革,362014,8.7,66.7,86.9,1.27,-0.22
100～499人,F22 窯業・土石,Ｘ,Ｘ,Ｘ,Ｘ,Ｘ,Ｘ
100～499人,F23 鉄鋼,-,-,-,-,-,-
100～499人,F24 非鉄金属,Ｘ,Ｘ,Ｘ,Ｘ,Ｘ,Ｘ
100～499人,F25 金属製品,Ｘ,Ｘ,Ｘ,Ｘ,Ｘ,Ｘ
100～499人,F26 一般機械,Ｘ,Ｘ,Ｘ,Ｘ,Ｘ,Ｘ
100～499人,F27 電気機器,774134,-4.7,100,100,1.91,-0.05
100～499人,F28 情報通信機器,858303,6.3,100,100,2.25,-0.04
100～499人,F29 電子部品・デバイス,1064469,224.2,100,100,2.26,1.49
100～499人,F30 輸送用機器,-,-,-,-,-,-
100～499人,F31 精密機器,1001371,30.3,100,100,2.72,0.59
100～499人,F32 その他,635972,27.3,80.6,79.7,1.91,0.15
100～499人,J-1 卸売業,833876,8.1,95.3,94.8,1.89,-0.07
100～499人,J-2 小売業,292400,6.7,100,100,1.16,0.18
100～499人,Q80 専門サービス業（他に分類されないもの）,590311,-14.7,80,81.8,1.56,-0.23
100～499人,Q81 学術・開発研究機関,872944,-14.9,100,100,1.95,-0.26
100～499人,Q84 娯楽業,346929,-14.4,85.9,82.8,1.2,-0.12
100～499人,"Q86,87 自動車整備業、機械等修理業",1048920,8.3,100,100,2.55,0.19
100～499人,Q82 洗濯・理容・美容・浴場業,167087,-21.4,100,100,0.65,-0.34
100～499人,Q89 広告業,714434,-5.7,84.2,78.9,1.73,0.03
100～499人,QS-1 一括分,535489,5.3,96.3,95.6,1.58,0.08
500人以上,TL 調査産業計,1033177,-5.7,93.5,95.7,2.36,0.03
500人以上,D 鉱業,-,-,-,-,-,-
500人以上,E 建設業,954842,5.7,84.4,91.3,2.07,0.28
500人以上,F 製造業,1171225,1.2,91.2,94.2,2.69,0.15
500人以上,G 電気・ガス・熱供給・水道業,Ｘ,Ｘ,Ｘ,Ｘ,Ｘ,Ｘ
500人以上,H 情報通信業,1006664,2.8,93.2,96.9,2.34,0.07
500人以上,I 運輸業,898927,-7.8,94.1,96.6,2.06,-0.14
500人以上,J 卸売・小売業,1173501,-23.1,97,98.6,2.57,-0.1
500人以上,K 金融・保険業,1483883,-5.3,97.3,97.7,3.25,0
500人以上,L 不動産業,1174962,0.1,100,100,2.68,-0.02
500人以上,"M 飲食店,宿泊業",417800,34.4,85.7,86.1,1.43,0.21
500人以上,"N 医療,福祉",594574,4.2,100,100,1.74,0.03
500人以上,"O 教育,学習支援業",636027,-3.3,95.3,97.3,1.9,-0.11
500人以上,P 複合サービス事業,528756,-8.1,100,100,1.58,-0.18
500人以上,Q サービス業（他に分類されないもの）,893398,23.7,88.9,89.6,2.01,0.13
500人以上,"F09,10 食料品・たばこ",1081810,0.8,90.9,93.2,2.5,-0.09
500人以上,F11 繊維,Ｘ,-,Ｘ,Ｘ,Ｘ,Ｘ
500人以上,F12 衣服,Ｘ,Ｘ,Ｘ,Ｘ,Ｘ,Ｘ
500人以上,F13 木材,-,-,-,-,-,-
500人以上,F14 家具,-,-,-,-,-,-
500人以上,F15 パルプ・紙,Ｘ,Ｘ,Ｘ,Ｘ,Ｘ,Ｘ
500人以上,F16 印刷,798489,-13.6,100,100,2.25,-0.18
500人以上,F17 化学,1372711,0.4,84.2,82.9,2.93,0.25
500人以上,F18 石油・石炭,-,-,-,-,-,-
500人以上,F19 プラスチック,-,-,-,-,-,-
500人以上,F20 ゴム,Ｘ,Ｘ,Ｘ,Ｘ,Ｘ,Ｘ
500人以上,F21 なめし革,-,-,-,-,-,-
500人以上,F22 窯業・土石,Ｘ,Ｘ,Ｘ,Ｘ,Ｘ,Ｘ
500人以上,F23 鉄鋼,Ｘ,Ｘ,Ｘ,Ｘ,Ｘ,Ｘ
500人以上,F24 非鉄金属,Ｘ,Ｘ,Ｘ,Ｘ,Ｘ,Ｘ
500人以上,F25 金属製品,702715,0.7,100,100,1.68,0.24
500人以上,F26 一般機械,1420757,23.8,100,100,3.25,0.62
500人以上,F27 電気機器,1327515,6.5,100,100,2.65,0.29
500人以上,F28 情報通信機器,1287045,-1.5,89.5,97.4,2.76,0.39
500人以上,F29 電子部品・デバイス,1131002,3.5,85.7,95.4,2.5,0.13
500人以上,F30 輸送用機器,920660,-15.6,100,100,2.27,-0.46
500人以上,F31 精密機器,1046341,-2,88.9,88,2.61,0.01
500人以上,F32 その他,Ｘ,Ｘ,Ｘ,Ｘ,Ｘ,Ｘ
500人以上,J-1 卸売業,1375279,-22.9,100,100,2.85,-0.03
500人以上,J-2 小売業,596751,-10.5,88.5,94.9,1.64,-0.01
500人以上,Q80 専門サービス業（他に分類されないもの）,1129527,49.3,81.5,77.5,2.6,-0.01
500人以上,Q81 学術・開発研究機関,1252888,28.1,100,100,2.75,0.44
500人以上,Q84 娯楽業,1043781,-29.6,75,76.2,2.56,0.48
500人以上,"Q86,87 自動車整備業、機械等修理業",775051,16.5,100,100,2.15,0.29
500人以上,Q82 洗濯・理容・美容・浴場業,-,-,-,-,-,-
500人以上,Q89 広告業,1509650,50.6,83.3,91.2,2.25,0.07
500人以上,QS-1 一括分,529872,-10.7,91.4,94.2,1.62,-0.05
,,,,,,,
東京都の賃金、労働時間及び雇用の動き（毎月勤労統計調査）平成１９年夏季,,,,,,,
賞与の産業別及び規模別支給状況,,,,,,,
