産業,出勤日数／計(日),出勤日数／男(日),出勤日数／女(日),総実労働時間／計(時間),総実労働時間／男(時間),総実労働時間／女(時間),所定内労働時間／計(時間),所定内労働時間／男(時間),所定内労働時間／女(時間),所定外労働時間／計(時間),所定外労働時間／男(時間),所定外労働時間／女(時間)
TL 調査産業計,20,20.5,19.1,163.6,171.5,148.4,149.3,155.4,137.4,14.3,16.1,11
D 鉱業,20.5,20.5,20.3,162.7,162.6,162.9,146.7,145.8,149.9,16,16.8,13
E 建設業,21.8,21.9,21,181.3,182.9,168.7,166.4,167.4,158.7,14.9,15.5,10
F 製造業,20.8,21.1,20.1,169.1,173.6,156.1,157.2,161.1,145.9,11.9,12.5,10.2
G 電気・ガス・熱供給・水道業,19.3,19.5,18.1,160.5,164.3,138,143.5,146.1,128.1,17,18.2,9.9
H 情報通信業,20,20.2,19.4,174.2,178.2,161.7,150.4,152.7,143.2,23.8,25.5,18.5
I 運輸業,20.3,20.3,20,175.5,177.4,159.7,153.9,155,144.4,21.6,22.4,15.3
J 卸売・小売業,20.1,20.7,19.2,158.6,170.7,140.7,148.6,159.3,132.7,10,11.4,8
K 金融・保険業,19.5,20.1,18.9,155.4,157.1,153.2,142.6,146,138.3,12.8,11.1,14.9
L 不動産業,21,21.5,19.8,169.9,176.1,155,154.5,160.2,140.7,15.4,15.9,14.3
"M 飲食店,宿泊業",20.2,20.8,18.9,181.6,188.6,166.6,166.1,173.8,149.7,15.5,14.8,16.9
"N 医療,福祉",18,18.2,18,140,141,139.6,132.1,134.3,131.3,7.9,6.7,8.3
"O 教育,学習支援業",18.7,19.6,17.5,134.7,141.1,125.4,130,135.8,121.5,4.7,5.3,3.9
P 複合サービス事業,19.4,19.3,19.8,153.7,159.6,126.1,141.6,147.4,114.5,12.1,12.2,11.6
Q サービス業（他に分類されないもの）,20,20.4,19.3,163.4,170.9,152.1,149.3,155,140.7,14.1,15.9,11.4
,,,,,,,,,,,,
東京都の賃金、労働時間及び雇用の動き（毎月勤労統計調査）平成１９年１１月分,,,,,,,,,,,,
第９－３表　産業、性別常用労働者の一人平均月間出勤日数及び実労働時間　（事業所規模１００人～４９９人）,,,,,,,,,,,,
