産業,出勤日数／計(日),出勤日数／男(日),出勤日数／女(日),総実労働時間／計(時間),総実労働時間／男(時間),総実労働時間／女(時間),所定内労働時間／計(時間),所定内労働時間／男(時間),所定内労働時間／女(時間),所定外労働時間／計(時間),所定外労働時間／男(時間),所定外労働時間／女(時間)
TL 調査産業計,19.6,20.1,18.6,157.2,168.2,138,143.6,152,128.9,13.6,16.2,9.1
D 鉱業,Ｘ,Ｘ,Ｘ,Ｘ,Ｘ,Ｘ,Ｘ,Ｘ,Ｘ,Ｘ,Ｘ,Ｘ
E 建設業,21.1,21.4,19.3,182.1,185.9,157.3,164.9,167.9,144.9,17.2,18,12.4
F 製造業,20.4,20.4,20.2,166.3,170.7,154.7,151.9,154.6,144.9,14.4,16.1,9.8
G 電気・ガス・熱供給・水道業,18.4,18.7,16.3,152.7,155.5,133.5,140.2,142.3,125.3,12.5,13.2,8.2
H 情報通信業,19.3,19.5,18.2,163.1,166.6,144.9,149.6,151.9,137.7,13.5,14.7,7.2
I 運輸業,21.7,21.9,20,195.7,199.4,166.6,158.9,161,142.3,36.8,38.4,24.3
J 卸売・小売業,20,20.4,19.4,153.9,165.9,137,143.2,153.1,129.2,10.7,12.8,7.8
K 金融・保険業,20.5,20.6,20.3,165.9,167.6,163.8,151.5,154.6,147.7,14.4,13,16.1
L 不動産業,20.5,20.8,19.6,164.9,170.2,150.4,151.8,157.4,136.4,13.1,12.8,14
"M 飲食店,宿泊業",16.4,17.6,15,118.1,138,96.9,110,127.5,91.5,8.1,10.5,5.4
"N 医療,福祉",17.6,16.3,17.9,121.9,121.6,122,118.4,118.7,118.3,3.5,2.9,3.7
"O 教育,学習支援業",18.9,19.8,17.7,154.8,165.3,141.7,139.8,148.1,129.5,15,17.2,12.2
P 複合サービス事業,-,-,-,-,-,-,-,-,-,-,-,-
Q サービス業（他に分類されないもの）,19.8,20.1,19.2,161.1,167.1,147.7,146.6,150.9,137,14.5,16.2,10.7
,,,,,,,,,,,,
東京都の賃金、労働時間及び雇用の動き（毎月勤労統計調査）平成１９年４月分,,,,,,,,,,,,
第９－２表　産業、性別常用労働者の一人平均月間出勤日数及び実労働時間　（事業所規模３０人～９９人）,,,,,,,,,,,,
