産業,出勤日数／計(日),出勤日数／男(日),出勤日数／女(日),総実労働時間／計(時間),総実労働時間／男(時間),総実労働時間／女(時間),所定内労働時間／計(時間),所定内労働時間／男(時間),所定内労働時間／女(時間),所定外労働時間／計(時間),所定外労働時間／男(時間),所定外労働時間／女(時間)
TL 調査産業計,18.8,19.4,17.7,150,162,129.5,137.2,146.1,121.9,12.8,15.9,7.6
D 鉱業,Ｘ,Ｘ,Ｘ,Ｘ,Ｘ,Ｘ,Ｘ,Ｘ,Ｘ,Ｘ,Ｘ,Ｘ
E 建設業,19.7,20,17.5,169.2,173.2,142.8,151.1,153.9,132.2,18.1,19.3,10.6
F 製造業,19.4,19.7,18.6,158.3,163.2,146.2,145.3,148.4,137.7,13,14.8,8.5
G 電気・ガス・熱供給・水道業,17.2,17.3,15.9,144.3,147.1,125.8,128.5,129.8,119.8,15.8,17.3,6
H 情報通信業,20.3,20.7,18.1,170.2,175,145.3,155.7,159.3,136.7,14.5,15.7,8.6
I 運輸業,20.5,20.9,18.2,192,199.4,145.2,152.9,157.8,122.2,39.1,41.6,23
J 卸売・小売業,19.3,19.7,18.6,148.8,161.3,130.8,139,149.3,124.2,9.8,12,6.6
K 金融・保険業,18.6,18.9,18.2,150.6,155.3,144.9,138.3,143,132.5,12.3,12.3,12.4
L 不動産業,19.2,19.4,18.7,150.9,156.6,136.1,139.6,144.6,126.6,11.3,12,9.5
"M 飲食店,宿泊業",16.2,17.2,15.1,112.5,130.3,94.8,105.7,121.3,90.3,6.8,9,4.5
"N 医療,福祉",17.2,15.9,17.5,116.6,113.7,117.1,113.5,110.9,114,3.1,2.8,3.1
"O 教育,学習支援業",16.3,17.2,15.1,127.5,138.1,115,117.7,125.5,108.5,9.8,12.6,6.5
P 複合サービス事業,-,-,-,-,-,-,-,-,-,-,-,-
Q サービス業（他に分類されないもの）,19.2,19.4,18.6,157.5,163,145.7,142.8,146.1,135.7,14.7,16.9,10
,,,,,,,,,,,,
東京都の賃金、労働時間及び雇用の動き（毎月勤労統計調査）平成１９年１２月分,,,,,,,,,,,,
第９－２表　産業、性別常用労働者の一人平均月間出勤日数及び実労働時間　（事業所規模３０人～９９人）,,,,,,,,,,,,
