産業,出勤日数／計(日),出勤日数／男(日),出勤日数／女(日),総実労働時間／計(時間),総実労働時間／男(時間),総実労働時間／女(時間),所定内労働時間／計(時間),所定内労働時間／男(時間),所定内労働時間／女(時間),所定外労働時間／計(時間),所定外労働時間／男(時間),所定外労働時間／女(時間)
TL 調査産業計,16.9,17.9,15.5,130,144.2,110.5,122.9,134.7,106.8,7.1,9.5,3.7
D 鉱業,-,-,-,-,-,-,-,-,-,-,-,-
E 建設業,18.6,18.9,17.4,147.6,151.6,130.4,137.7,140,127.8,9.9,11.6,2.6
F 製造業,17.6,18,16.9,140.1,148.1,122.3,131.6,137.5,118.6,8.5,10.6,3.7
G 電気・ガス・熱供給・水道業,17.6,17.7,16.9,143.2,145.5,132.8,134.8,137.4,123.1,8.4,8.1,9.7
H 情報通信業,16.4,17.2,14.9,135.1,145.1,117.3,123.7,131.1,110.5,11.4,14,6.8
I 運輸業,19,19.3,16.8,172,177.8,122.5,145,148.1,118.4,27,29.7,4.1
J 卸売・小売業,16.9,17.7,15.9,127.4,138.2,112.4,122.3,132.3,108.5,5.1,5.9,3.9
K 金融・保険業,16.9,18.3,15.7,139.1,156.9,123.3,126.6,139.5,115.2,12.5,17.4,8.1
L 不動産業,18.3,18.8,16.9,147.7,155.5,126.5,139.4,145.1,123.8,8.3,10.4,2.7
"M 飲食店,宿泊業",15.1,16.8,13.6,108.7,133,87.1,104.3,126.1,84.9,4.4,6.9,2.2
"N 医療,福祉",14.6,15.5,14.3,102.5,112.7,99.4,99.5,108.7,96.7,3,4,2.7
"O 教育,学習支援業",14.9,15,14.8,113.2,112.7,113.6,111.7,111.5,111.8,1.5,1.2,1.8
P 複合サービス事業,17.2,17.9,16.3,128.6,135.8,120.2,123.2,130.5,114.6,5.4,5.3,5.6
Q サービス業（他に分類されないもの）,18.1,18.9,16.9,141.7,153.1,124,134,143.3,119.6,7.7,9.8,4.4
,,,,,,,,,,,,
東京都の賃金、労働時間及び雇用の動き（毎月勤労統計調査）平成１９年１月分(確報),,,,,,,,,,,,
第９－１表　産業、性別常用労働者の一人平均月間出勤日数及び実労働時間　（事業所規模５人～２９人）,,,,,,,,,,,,
