産業,現金給与総額／計(円),現金給与総額／男(円),現金給与総額／女(円),きまって支給する給与／計(円),きまって支給する給与／男(円),きまって支給する給与／女(円),所定内給与(円),所定外給与(円),特別に支払われた給与／計(円),特別に支払われた給与／男(円),特別に支払われた給与／女(円)
TL 調査産業計,278853,347071,185452,262330,326081,175045,251834,10496,16523,20990,10407
D 鉱業,-,-,-,-,-,-,-,-,-,-,-
E 建設業,380649,408118,262997,363432,389065,253642,344097,19335,17217,19053,9355
F 製造業,306131,357345,191547,296194,345144,186678,284227,11967,9937,12201,4869
G 電気・ガス・熱供給・水道業,347972,387669,171766,347504,387095,171766,336173,11331,468,574,0
H 情報通信業,387884,452290,272220,335830,388336,241538,322078,13752,52054,63954,30682
I 運輸業,370551,390542,200466,355639,376613,177194,309511,46128,14912,13929,23272
J 卸売・小売業,256296,318933,169224,243899,304111,160199,237124,6775,12397,14822,9025
K 金融・保険業,395004,575257,236280,324842,461390,204602,303033,21809,70162,113867,31678
L 不動産業,430636,474543,310786,382021,428449,255290,370516,11505,48615,46094,55496
"M 飲食店,宿泊業",137421,186671,93384,135158,183215,92188,129980,5178,2263,3456,1196
"N 医療,福祉",239024,374631,197186,234530,370119,192697,230303,4227,4494,4512,4489
"O 教育,学習支援業",280676,312776,257880,260270,296496,234544,257990,2280,20406,16280,23336
P 複合サービス事業,350086,433196,253004,337975,420113,242029,325649,12326,12111,13083,10975
Q サービス業（他に分類されないもの）,298640,355020,211024,280430,331463,201124,268581,11849,18210,23557,9900
,,,,,,,,,,,
東京都の賃金、労働時間及び雇用の動き（毎月勤労統計調査）平成１９年１月分(確報),,,,,,,,,,,
第８－１表　産業、性別常用労働者の一人平均月間現金給与額　（事業所規模５人～２９人）,,,,,,,,,,,
