産業,現金給与総額／計(円),現金給与総額／男(円),現金給与総額／女(円),きまって支給する給与／計(円),きまって支給する給与／男(円),きまって支給する給与／女(円),所定内給与(円),所定外給与(円),特別に支払われた給与／計(円),特別に支払われた給与／男(円),特別に支払われた給与／女(円)
TL 調査産業計,444688,542940,277870,336810,400649,228421,317002,19808,107878,142291,49449
D 鉱業,Ｘ,Ｘ,Ｘ,Ｘ,Ｘ,Ｘ,Ｘ,Ｘ,Ｘ,Ｘ,Ｘ
E 建設業,523880,559722,294360,373787,395737,233227,350010,23777,150093,163985,61133
F 製造業,571057,656106,351065,382601,439899,234392,363441,19160,188456,216207,116673
G 電気・ガス・熱供給・水道業,454615,466993,368072,454615,466993,368072,403298,51317,0,0,0
H 情報通信業,548218,588367,341542,328765,346289,238558,314653,14112,219453,242078,102984
I 運輸業,558163,587595,357994,332047,350727,205003,273559,58488,226116,236868,152991
J 卸売・小売業,437540,566123,260526,315412,406095,190572,301429,13983,122128,160028,69954
K 金融・保険業,573696,743055,392652,486645,627399,336180,457675,28970,87051,115656,56472
L 不動産業,595361,683953,356491,380500,428515,251037,365630,14870,214861,255438,105454
"M 飲食店,宿泊業",184284,250274,119298,163372,217479,110089,151765,11607,20912,32795,9209
"N 医療,福祉",272108,395784,244158,272086,395784,244132,265983,6103,22,0,26
"O 教育,学習支援業",395623,449915,330430,393966,449587,327178,378179,15787,1657,328,3252
P 複合サービス事業,-,-,-,-,-,-,-,-,-,-,-
Q サービス業（他に分類されないもの）,410743,473255,276810,340817,392937,229149,316041,24776,69926,80318,47661
,,,,,,,,,,,
東京都の賃金、労働時間及び雇用の動き（毎月勤労統計調査）平成１９年７月分,,,,,,,,,,,
第８－２表　産業、性別常用労働者の一人平均月間現金給与額　（事業所規模３０人～９９人）,,,,,,,,,,,
