産業,出勤日数／計(日),出勤日数／男(日),出勤日数／女(日),総実労働時間／計(時間),総実労働時間／男(時間),総実労働時間／女(時間),所定内労働時間／計(時間),所定内労働時間／男(時間),所定内労働時間／女(時間),所定外労働時間／計(時間),所定外労働時間／男(時間),所定外労働時間／女(時間)
TL 調査産業計,18.9,19.3,18.1,154.4,161.3,140.5,140.3,145.6,129.6,14.1,15.7,10.9
D 鉱業,18.8,18.9,18.5,154.1,155.7,148.3,139.1,139.8,136.4,15,15.9,11.9
E 建設業,20.3,20.4,19.3,168.6,169.8,158.7,152.9,153.5,147.9,15.7,16.3,10.8
F 製造業,19.2,19.3,18.8,155.6,159,145.5,144.3,147.3,135.6,11.3,11.7,9.9
G 電気・ガス・熱供給・水道業,17.8,18,16.6,147,150.4,126.9,132,134.5,117.5,15,15.9,9.4
H 情報通信業,19,19.2,18.5,164.9,168.2,154.9,142.5,144.5,136.4,22.4,23.7,18.5
I 運輸業,19.3,19.4,18.6,166,167.6,152.8,144.9,145.8,137.5,21.1,21.8,15.3
J 卸売・小売業,19.4,19.7,19,151.6,161.4,136.3,141.5,149.9,128.3,10.1,11.5,8
K 金融・保険業,18.3,18.6,18.1,145.1,145.5,144.5,132.3,134.9,128.9,12.8,10.6,15.6
L 不動産業,19.7,20.2,18.3,158.4,164.5,143.8,143.9,149.9,129.6,14.5,14.6,14.2
"M 飲食店,宿泊業",20.3,21.1,18.4,181.5,191.4,161.1,166.1,175.9,145.8,15.4,15.5,15.3
"N 医療,福祉",17.5,17.6,17.5,136.9,137.7,136.6,128.8,130.4,128.2,8.1,7.3,8.4
"O 教育,学習支援業",16.9,17.9,15.4,121.2,127.9,111.4,117,123.4,107.5,4.2,4.5,3.9
P 複合サービス事業,19.5,19.7,18.6,160.3,169.1,119.1,137.2,144.1,105,23.1,25,14.1
Q サービス業（他に分類されないもの）,18.6,19.1,17.8,152.2,160.2,140.3,139,145.3,129.6,13.2,14.9,10.7
,,,,,,,,,,,,
東京都の賃金、労働時間及び雇用の動き（毎月勤労統計調査）平成１９年１２月分,,,,,,,,,,,,
第９－３表　産業、性別常用労働者の一人平均月間出勤日数及び実労働時間　（事業所規模１００人～４９９人）,,,,,,,,,,,,
