産業,現金給与総額／計(円),現金給与総額／男(円),現金給与総額／女(円),きまって支給する給与／計(円),きまって支給する給与／男(円),きまって支給する給与／女(円),所定内給与(円),所定外給与(円),特別に支払われた給与／計(円),特別に支払われた給与／男(円),特別に支払われた給与／女(円)
TL 調査産業計,440480,508228,301280,424406,488741,292220,386628,37778,16074,19487,9060
D 鉱業,-,-,-,-,-,-,-,-,-,-,-
E 建設業,522787,563595,303016,516314,557065,296853,478725,37589,6473,6530,6163
F 製造業,463308,496196,324105,459945,492640,321558,420202,39743,3363,3556,2547
G 電気・ガス・熱供給・水道業,Ｘ,Ｘ,Ｘ,Ｘ,Ｘ,Ｘ,Ｘ,Ｘ,Ｘ,Ｘ,Ｘ
H 情報通信業,465325,488028,358671,458441,481011,352413,389662,68779,6884,7017,6258
I 運輸業,429164,453703,340329,418731,444096,326905,379449,39282,10433,9607,13424
J 卸売・小売業,510114,594614,321401,454145,524503,297015,431538,22607,55969,70111,24386
K 金融・保険業,597781,723565,374435,566747,687617,352126,521518,45229,31034,35948,22309
L 不動産業,386944,478290,214240,380029,469487,210895,357107,22922,6915,8803,3345
"M 飲食店,宿泊業",272799,324760,183975,272799,324760,183975,254165,18634,0,0,0
"N 医療,福祉",380618,470653,344765,376707,464188,341871,343378,33329,3911,6465,2894
"O 教育,学習支援業",343343,401791,279848,339066,395463,277799,316956,22110,4277,6328,2049
P 複合サービス事業,358285,385726,215843,355868,383147,214267,329267,26601,2417,2579,1576
Q サービス業（他に分類されないもの）,342678,421971,238881,329371,403293,232605,297748,31623,13307,18678,6276
,,,,,,,,,,,
東京都の賃金、労働時間及び雇用の動き（毎月勤労統計調査）平成１９年８月分,,,,,,,,,,,
第８－４表　産業、性別常用労働者の一人平均月間現金給与額　（事業所規模５００人以上）,,,,,,,,,,,
