規模,和暦年,西暦年,年平均・月・対前月比・対前年同月比,調査産業計,調査産業計／対前月比（％）,調査産業計／対前年同月比（％）,鉱業,建設業,製造業,電気・ガス・熱供給・水道業,情報通信業,運輸業,卸売・小売業,金融・保険業,不動産業,飲食店，宿泊業,医療，福祉,教育，学習支援業,複合サービス事業,サービス業（他に分類されないもの）
30人以上,平成17,2005,年平均,100,－,－,100,100,100,100,100,100,100,100,100,100,100,100,100,100
30人以上,平成18,2006,年平均,101.7,－,1.7,101.9,99.8,99.8,103.6,101.5,100.9,104.3,103.2,98,97,99.5,98.6,99.3,103.5
30人以上,平成18,2006,2月,99.8,-0.3,0.2,99.1,99.2,99.1,104.4,99.5,98.7,99.9,99.6,97.4,95.2,99,99.6,99.4,102.3
30人以上,平成18,2006,3月,99.6,-0.2,0.3,98.5,98.5,99.8,104.7,99.3,98.2,100.1,99.6,96.9,95.1,98.9,96.2,99.5,101.9
30人以上,平成18,2006,4月,102.4,2.8,1.6,103.1,101.5,101.8,104.3,104.1,101.8,103.1,105.1,100.1,96.9,101.4,98,98.9,103.7
30人以上,平成18,2006,5月,102.2,-0.2,1.6,104.2,100.3,101.1,104.2,103.6,101.6,102.6,105.1,99.6,98.6,100.6,98.4,98.3,104.2
30人以上,平成18,2006,6月,101.9,-0.3,1.7,103.8,99.5,100.5,103.5,103.4,102.1,102.6,104.5,99.1,98.3,100.2,98.8,98.6,103.5
30人以上,平成18,2006,7月,102.6,0.7,2.4,103.7,98.8,100.6,102.7,102.2,102.4,107.2,103.7,98.4,98.8,100.3,98.5,98.1,103.8
30人以上,平成18,2006,8月,102.4,-0.2,2.5,102.7,98.7,99.9,102.7,101.9,102.6,107.9,102.9,98.5,96.9,99.5,97.5,97.2,103.8
30人以上,平成18,2006,9月,102.3,-0.1,2.6,102.9,98,99.3,102.8,101.3,103.5,107.9,103.1,97.8,97.8,98.6,98.1,96.7,103.8
30人以上,平成18,2006,10月,102.4,0.1,2.5,101.8,101.2,99.2,102.8,100.8,101.5,107.4,105.3,97.3,97.3,99.2,99.3,97.1,104.1
30人以上,平成18,2006,11月,102.3,-0.1,2.3,100.9,101.2,98.9,103,101,101.1,107,105.2,97,96.2,97.6,99.3,97.8,104.4
30人以上,平成18,2006,12月,101.9,-0.4,1.5,101.2,100.8,98.6,102.9,100.6,98.3,105.8,103.9,96.6,96.3,99.1,99.3,110.1,104.5
30人以上,平成19,2007,1月,101.5,-0.4,1.4,102.4,100.5,96.7,103,100.4,98.1,105.5,103.9,96.7,95.5,99,99.3,105.2,104.6
30人以上,平成19,2007,2月,101,-0.5,1.2,101.3,100.2,96.4,102.8,97.9,98.4,105.1,104.1,95.6,94.4,98.8,98.5,105.1,104.8
30人以上,平成19,2007,2月（対前月比（％））,－,－,－,-1.1,-0.3,-0.3,-0.2,-2.5,0.3,-0.4,0.2,-1.1,-1.2,-0.2,-0.8,-0.1,0.2
30人以上,平成19,2007,2月（対前年同月比（％））,－,－,－,2.2,1,-2.7,-1.5,-1.6,-0.3,5.2,4.5,-1.8,-0.8,-0.2,-1.1,5.7,2.4
,,,,,,,,,,,,,,,,,,,,
東京都の賃金、労働時間及び雇用の動き（毎月勤労統計調査）平成１９年２月分,,,,,,,,,,,,,,,,,,,,
第１５－２表　常用雇用指数　（事業所規模３０人以上）,,,,,,,,,,,,,,,,,,,,
（平成１７年平均＝100）,,,,,,,,,,,,,,,,,,,,
