産業,現金給与総額／計(円),現金給与総額／男(円),現金給与総額／女(円),きまって支給する給与／計(円),きまって支給する給与／男(円),きまって支給する給与／女(円),所定内給与(円),所定外給与(円),特別に支払われた給与／計(円),特別に支払われた給与／男(円),特別に支払われた給与／女(円)
TL 調査産業計,341378,406742,230165,330307,392323,224790,311286,19021,11071,14419,5375
D 鉱業,Ｘ,Ｘ,Ｘ,Ｘ,Ｘ,Ｘ,Ｘ,Ｘ,Ｘ,Ｘ,Ｘ
E 建設業,381656,405942,222050,380796,405040,221464,351296,29500,860,902,586
F 製造業,395362,459440,226160,392426,456147,224168,375765,16661,2936,3293,1992
G 電気・ガス・熱供給・水道業,608785,634450,430971,458888,477819,327730,401794,57094,149897,156631,103241
H 情報通信業,304547,322737,231150,302512,320198,231150,288218,14294,2035,2539,0
I 運輸業,392386,412349,230942,346179,361123,225330,284506,61673,46207,51226,5612
J 卸売・小売業,317938,405770,194516,298016,381037,181355,285810,12206,19922,24733,13161
K 金融・保険業,463113,574407,322652,462598,573876,322156,440904,21694,515,531,496
L 不動産業,386935,426860,271864,371864,411421,257855,356900,14964,15071,15439,14009
"M 飲食店,宿泊業",169145,223941,116472,168187,222583,115899,157285,10902,958,1358,573
"N 医療,福祉",282707,420272,256621,282707,420272,256621,277292,5415,0,0,0
"O 教育,学習支援業",402386,461309,329579,402386,461309,329579,383858,18528,0,0,0
P 複合サービス事業,-,-,-,-,-,-,-,-,-,-,-
Q サービス業（他に分類されないもの）,351409,406286,238520,335353,386460,230219,311630,23723,16056,19826,8301
,,,,,,,,,,,
東京都の賃金、労働時間及び雇用の動き（毎月勤労統計調査）平成１９年１月分(確報),,,,,,,,,,,
第８－２表　産業、性別常用労働者の一人平均月間現金給与額　（事業所規模３０人～９９人）,,,,,,,,,,,
