産業,現金給与総額／計(円),現金給与総額／男(円),現金給与総額／女(円),きまって支給する給与／計(円),きまって支給する給与／男(円),きまって支給する給与／女(円),所定内給与(円),所定外給与(円),特別に支払われた給与／計(円),特別に支払われた給与／男(円),特別に支払われた給与／女(円)
TL 調査産業計,770499,940034,477014,337951,403334,224766,316916,21035,432548,536700,252248
D 鉱業,Ｘ,Ｘ,Ｘ,Ｘ,Ｘ,Ｘ,Ｘ,Ｘ,Ｘ,Ｘ,Ｘ
E 建設業,817873,853000,586118,384754,408406,228704,354350,30404,433119,444594,357414
F 製造業,893212,1049635,500869,397654,463690,232021,377405,20249,495558,585945,268848
G 電気・ガス・熱供給・水道業,1000188,1043755,710435,447164,462823,343017,397715,49449,553024,580932,367418
H 情報通信業,807919,863529,517391,333057,353104,228327,313597,19460,474862,510425,289064
I 運輸業,733127,784841,404006,338294,359485,203428,277124,61170,394833,425356,200578
J 卸売・小売業,761677,1054983,338101,316258,404846,188325,302472,13786,445419,650137,149776
K 金融・保険業,1156538,1475265,756815,452384,571601,302871,426199,26185,704154,903664,453944
L 不動産業,1112962,1309556,597230,374377,425946,239094,360118,14259,738585,883610,358136
"M 飲食店,宿泊業",218928,309887,128669,163435,215668,111605,151035,12400,55493,94219,17064
"N 医療,福祉",700051,1099397,615368,283476,420742,254368,276456,7020,416575,678655,361000
"O 教育,学習支援業",972691,1146394,765753,393257,457651,316543,370225,23032,579434,688743,449210
P 複合サービス事業,-,-,-,-,-,-,-,-,-,-,-
Q サービス業（他に分類されないもの）,694055,799757,460871,344001,393594,234596,319985,24016,350054,406163,226275
,,,,,,,,,,,
東京都の賃金、労働時間及び雇用の動き（毎月勤労統計調査）平成１９年１２月分,,,,,,,,,,,
第８－２表　産業、性別常用労働者の一人平均月間現金給与額　（事業所規模３０人～９９人）,,,,,,,,,,,
