規模,産業,前月末労働者数／計(人),前月末労働者数／男(人),前月末労働者数／女(人),本月中の増加労働者数／計(人),本月中の増加労働者数／男(人),本月中の増加労働者数／女(人),本月中の減少労働者数／計(人),本月中の減少労働者数／男(人),本月中の減少労働者数／女(人),本月末労働者数／計(人),本月末労働者数／男(人),本月末労働者数／女(人),パートタイム労働者比率／計(％),パートタイム労働者比率／男(％),パートタイム労働者比率／女(％)
30人以上,TL 調査産業計,4381350,2877603,1503747,64095,31872,32223,57694,30142,27552,4387751,2879333,1508418,14.7,7.2,29.2
30人以上,D 鉱業,2123,1745,378,19,17,2,29,29,0,2113,1733,380,1.8,0.1,9.7
30人以上,E 建設業,209677,182434,27243,1219,1061,158,1583,1256,327,209313,182239,27074,2.6,1.3,11.6
30人以上,F 製造業,514159,392087,122072,3553,2272,1281,4625,3349,1276,513087,391010,122077,6.2,1.7,20.7
30人以上,G 電気・ガス・熱供給・水道業,36623,29981,6642,73,73,0,111,64,47,36585,29990,6595,8.3,6.7,15.6
30人以上,H 情報通信業,506572,404901,101671,4630,3260,1370,4512,3650,862,506690,404511,102179,3.8,1.3,13.5
30人以上,I 運輸業,258090,225466,32624,3495,2893,602,4122,3203,919,257463,225156,32307,11.9,9.6,28.2
30人以上,J 卸売・小売業,827739,505105,322634,12044,4730,7314,9870,4635,5235,829913,505200,324713,22.6,7.9,45.6
30人以上,K 金融・保険業,332876,194104,138772,3886,2249,1637,7151,3304,3847,329611,193049,136562,6.3,2.2,12
30人以上,L 不動産業,66081,46848,19233,1222,834,388,1075,664,411,66228,47018,19210,10.6,4.8,24.9
30人以上,"M 飲食店,宿泊業",171992,93324,78668,7246,3784,3462,3855,1821,2034,175383,95287,80096,56.7,41.7,74.5
30人以上,"N 医療,福祉",259869,61557,198312,3577,754,2823,3975,1159,2816,259471,61152,198319,22.4,18.1,23.7
30人以上,"O 教育,学習支援業",257768,148732,109036,1285,458,827,928,343,585,258125,148847,109278,16.2,12.1,21.9
30人以上,P 複合サービス事業,40264,33362,6902,230,115,115,341,314,27,40153,33163,6990,18.6,12.6,47.3
30人以上,Q サービス業（他に分類されないもの）,897517,557957,339560,21616,9372,12244,15517,6351,9166,903616,560978,342638,14.8,8.8,24.7
30人以上,"F09,10 食料品・たばこ",59652,35087,24565,1017,453,564,992,570,422,59677,34970,24707,28.5,9.7,55
