産業,現金給与総額／計(円),現金給与総額／男(円),現金給与総額／女(円),きまって支給する給与／計(円),きまって支給する給与／男(円),きまって支給する給与／女(円),所定内給与(円),所定外給与(円),特別に支払われた給与／計(円),特別に支払われた給与／男(円),特別に支払われた給与／女(円)
TL 調査産業計,278891,352072,184637,261193,327649,175600,250960,10233,17698,24423,9037
D 鉱業,-,-,-,-,-,-,-,-,-,-,-
E 建設業,403955,437778,272384,366130,398996,238282,345658,20472,37825,38782,34102
F 製造業,322242,373883,203242,305882,355129,192399,293782,12100,16360,18754,10843
G 電気・ガス・熱供給・水道業,363591,398688,202337,357812,391651,202337,337261,20551,5779,7037,0
H 情報通信業,353970,387142,275161,344658,376920,268010,328571,16087,9312,10222,7151
I 運輸業,375156,416908,191236,350739,387666,188074,306865,43874,24417,29242,3162
J 卸売・小売業,265358,336036,177420,252974,321147,168153,246390,6584,12384,14889,9267
K 金融・保険業,381955,533542,251695,319751,433654,221873,294754,24997,62204,99888,29822
L 不動産業,502039,599853,271747,363311,427103,213120,357105,6206,138728,172750,58627
"M 飲食店,宿泊業",131704,170504,97111,130147,167686,96678,125581,4566,1557,2818,433
"N 医療,福祉",205179,293253,182202,201376,284527,179684,196505,4871,3803,8726,2518
"O 教育,学習支援業",236520,274926,210280,234492,273835,207612,232675,1817,2028,1091,2668
P 複合サービス事業,302688,366011,242949,301734,365156,241902,284864,16870,954,855,1047
Q サービス業（他に分類されないもの）,303758,366274,214638,283845,340158,203568,273954,9891,19913,26116,11070
,,,,,,,,,,,
東京都の賃金、労働時間及び雇用の動き（毎月勤労統計調査）平成１９年８月分,,,,,,,,,,,
第８－１表　産業、性別常用労働者の一人平均月間現金給与額　（事業所規模５人～２９人）,,,,,,,,,,,
